price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
4.233112327332244e-06,3.3762905188936374e-06,4.364035081842157e-06,2.978031839704459e-06,3.832281989806039e-06,1215481926.3885624,0.0
3.3762905188936374e-06,3.7412851782072345e-06,4.1707569272455355e-06,3.162481638574567e-06,3.781479813870649e-06,235351654.18145186,0.0
3.7412851782072345e-06,2.9367306089828456e-06,3.870111976747279e-06,2.8737268463822544e-06,3.268193773832156e-06,180705577.9617387,0.0
2.9367306089828456e-06,3.091911179836947e-06,3.446069801535138e-06,2.9367306089828456e-06,3.180435241354244e-06,489333813.9115054,0.0
3.091911179836947e-06,3.1706755406664084e-06,3.535508716810193e-06,2.797817322164716e-06,3.087317681564166e-06,351894289.81032676,0.0
3.1706755406664084e-06,3.691923169897398e-06,3.691923169897398e-06,3.15916539160576e-06,3.3202259962108475e-06,406889460.0894586,0.0
3.691923169897398e-06,3.88702395932548e-06,3.949911600507401e-06,3.3018834325552595e-06,3.662396632376947e-06,306340079.4615703,0.0
3.88702395932548e-06,3.960262965794686e-06,4.325514786697546e-06,3.7589031218280864e-06,4.055071643704438e-06,401382943.68219733,0.0
3.963770385024265e-06,3.5005280711433316e-06,4.0603838927321276e-06,3.3899229630370584e-06,3.785727832335345e-06,82154283.37442937,0.0
3.4791105813246745e-06,3.5418918004526936e-06,3.7139345276265576e-06,3.3927197981600174e-06,3.5810474356261178e-06,127886942.24051292,0.0
3.489088663428495e-06,3.6263488774371017e-06,3.6268835689806165e-06,3.3621897913242054e-06,3.512227953128916e-06,189713548.63173187,0.0
3.6263488774371017e-06,3.404479439400555e-06,3.663710524062709e-06,3.404479439400555e-06,3.520657541835668e-06,268789528.4192947,0.0
3.404479439400555e-06,3.2483256992233986e-06,3.4996662242215474e-06,3.2149427990267737e-06,3.3395540405597697e-06,194794595.41985327,0.0
3.2483256992233986e-06,3.4232350639406453e-06,3.5666511662189425e-06,3.1780222580337195e-06,3.3478141916307565e-06,210790773.23532033,0.0
3.4232350639406453e-06,3.107395380569502e-06,3.4382221313041012e-06,3.0276254625820784e-06,3.186673715270551e-06,198868339.19211364,63187908.61020781
3.107395380569502e-06,3.1995668589041358e-06,3.2958396783144576e-06,3.107395380569502e-06,3.196990907268529e-06,170724703.18616036,63893381.71713647
3.1995668589041358e-06,3.0285497881899133e-06,3.2038419857189835e-06,3.0285497881899133e-06,3.128945837956059e-06,168885218.77634117,62608593.90515897
3.0285497881899133e-06,2.74780114656784e-06,3.125541751844123e-06,2.74780114656784e-06,3.0509877777985764e-06,145555604.4415246,60966190.73412597
2.74780114656784e-06,2.5305385362289354e-06,2.74780114656784e-06,2.3338054733236626e-06,2.5257856101433914e-06,189767351.5392102,50673384.373807766
2.5305385362289354e-06,2.5063496074295436e-06,2.629597933070795e-06,2.4543225128657065e-06,2.5195715422656358e-06,333423553.56746495,50433137.310117215
2.5063496074295436e-06,2.4077993802481056e-06,2.5063496074295436e-06,2.3462746430523664e-06,2.42170016292781e-06,167919259.6841094,48349955.778270885
2.4077993802481056e-06,2.418211976941976e-06,2.8092078367570808e-06,2.341184406705987e-06,2.5315836809547863e-06,243195123.7890084,50678200.4077287
2.418211976941976e-06,2.32303439554773e-06,2.4218264769082283e-06,2.2481282534631106e-06,2.337501627433387e-06,58883914.57546998,46714066.78703821
2.32303439554773e-06,2.3624630235255844e-06,2.3699957961414886e-06,2.2307304766005604e-06,2.2971598506354505e-06,73925347.92578834,45951303.498424806
2.3624630235255844e-06,2.347756833816292e-06,2.4165307241545002e-06,2.31527857163675e-06,2.3488370261117e-06,103167741.18113148,46967076.51266542
2.347756833816292e-06,2.526584417939104e-06,2.526584417939104e-06,2.324818164381952e-06,2.38514411857039e-06,87207755.18857145,47694498.227699585
2.526584417939104e-06,2.5015928217722086e-06,2.6139969056231634e-06,2.3898696257766505e-06,2.5022891202900237e-06,143270974.39475837,50151070.4160244
2.5015928217722086e-06,3.338222928290117e-06,3.338222928290117e-06,2.5015928217722086e-06,2.8885204705896576e-06,165381964.14616358,57778428.94158777
3.338222928290117e-06,3.2357147253854963e-06,3.6266354033086833e-06,2.8474072648646997e-06,3.308134036043741e-06,148314054.10870448,66110817.83852645
3.2357147253854963e-06,3.6231875529764634e-06,3.731009947375747e-06,2.882689586034568e-06,3.263483982093383e-06,93333770.42825133,65371674.57298267
3.6231875529764634e-06,4.03782348683715e-06,4.609071476395479e-06,3.6231875529764634e-06,3.929424583508365e-06,209912461.98499897,78689872.97065066
4.03782348683715e-06,2.416839846930096e-06,4.03782348683715e-06,2.416839846930096e-06,3.1959960911288404e-06,121202986.21801774,64329761.98544441
2.416839846930096e-06,2.508544552007952e-06,2.8227325235117816e-06,2.37204590251204e-06,2.573265703124209e-06,122746907.5238622,51132291.85005285
2.508544552007952e-06,3.2504231880354776e-06,3.2504231880354776e-06,2.508544552007952e-06,3.004252068708713e-06,225594532.29545522,59844365.330956936
3.2504231880354776e-06,2.7914822845959787e-06,3.2504231880354776e-06,2.7709467635141646e-06,2.9051903560198095e-06,179399452.6588743,58142658.46663179
2.7914822845959787e-06,2.7354189312941587e-06,2.7914822845959787e-06,2.4954685593404315e-06,2.659491580785749e-06,130531528.55712482,53149828.04373136
2.7354189312941587e-06,2.6242436474265165e-06,2.7354189312941587e-06,2.4344965646576643e-06,2.5923859415911054e-06,126913712.08647877,51833493.90690363
2.6242436474265165e-06,2.6253291443555276e-06,2.6259082572986667e-06,2.5313757841698846e-06,2.570646488029218e-06,122965995.92302813,51414729.312023096
2.6253291443555276e-06,2.8283463383664377e-06,3.0015482967849597e-06,2.6005096752205707e-06,2.7145803865246857e-06,149444481.18005362,54310107.450150594
2.8283463383664377e-06,2.7027541356444184e-06,2.850572256374679e-06,2.7027541356444184e-06,2.797349412603224e-06,114207180.29581621,56019839.99839828
