price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
210.304226781,254.599927864,258.452179643,210.304226781,238.60160590526053,11244437216.06139,36871770666.01233
254.592758123,239.008225599,263.674525159,229.361376643,246.05961916610437,12075486727.755901,38024278225.77748
239.864739133,242.297967939,254.236390251,237.457783868,245.87177981687833,9488889888.638071,37995250888.009056
241.322736359,229.633284822,249.657203221,226.763968148,237.95883219875017,7898201522.225285,36772441055.02054
230.018148494,225.832729064,230.658051117,216.664095061,223.70967134424998,7114693420.935362,34570478544.26165
226.144391408,226.462859588,231.675491464,219.908809324,225.33475357738195,5594616719.522724,34821607027.60157
226.409424953,240.323139561,242.222423114,225.683119492,233.33946383892373,5751808424.762168,36058597197.43564
239.667023755,239.974477001,242.308061769,229.942347637,235.25757373845838,6104652400.412569,36355008062.14679
240.069289679,294.615228982,295.396063016,236.414585185,263.00989907505556,10154291260.780735,40643652186.63728
293.304173347,278.91083115,294.507080721,271.03509637,282.5833076837734,15868457081.147152,43668385530.88541
278.728744218,288.547233658,312.103002492,274.252437363,286.18170492778125,12986195309.047745,44224455878.53824
289.917975893,263.219047405,289.917975893,256.095176379,274.1686897519998,13573281122.918953,42368051187.177505
263.563224002,276.546875165,282.647970621,256.615459055,271.5997820965242,10933755447.99597,41971070732.769035
276.200436223,265.780500363,276.401698999,265.159870803,270.01680657723614,7029029039.650033,41726449117.18659
264.761391605,254.494519243,267.200909379,250.909975887,258.7775911877154,6449519273.215151,39989621861.82909
254.520144963,257.821245248,258.158844892,242.738308048,252.88502722108686,7168033613.117986,39079027541.275345
258.182382178,268.913114192,270.071180659,249.692453916,256.23560159076027,5808857676.398485,39596801129.97061
269.909507667,261.513097976,276.944954311,258.791926045,268.87374381360416,7893936619.746777,41549808444.89275
261.257159979,262.629828364,268.46,255.716894299,264.68400734712145,6160325084.112706,40902356800.31116
263.189134621,264.47,273.972909003,262.770010794,267.86996678855917,4857650810.286219,41394691985.693535
264.22,264.379667682,267.872393688,257.358434893,263.9554252533821,4888029165.964816,40789766980.26444
264.802191612,255.693748076,275.074992701,254.463998988,265.5421274035659,4729026175.6983,41034964482.49783
255.210602464,255.785654256,262.78,252.587083463,257.99419591997565,6593955136.041927,39868561609.3495
255.080621936,249.318552256,268.09,243.714166285,258.5326452054757,5488052743.920744,39951769677.01907
248.98902215,234.494745634,249.257640747,227.951717393,239.67261073313207,6821840150.201769,37037276024.811775
234.274622339,254.582236904,254.582236904,234.274622339,246.78835319090962,5973428898.537621,38136891524.15491
255.023709144,270.075425159,275.29,250.08,258.92006376797235,5294081272.771583,40011638546.442345
269.212333679,269.16,280.179714293,263.16,271.1074666461355,7023555604.975987,41894991855.12188
268.887988935,274.927888126,277.014850254,265.56,272.2838485487222,5809014838.672198,42076781426.75223
275.212385079,311.472386672,311.472386672,271.602564225,291.6599404997213,7858314507.839665,45071022878.35619
311.730368178,302.587495819,316.141194237,292.48,303.77183817768724,12313914405.382645,46942708158.16737
302.378968411,335.576689691,338.466918137,301.77019481,318.1911389730136,9228235389.283907,49170962867.821915
334.70463712,338.083282948,355.412086927,329.605259005,344.9438048764702,12176811425.280336,53305126836.05762
338.624214477,325.907863707,347.12,322.760482793,339.38361754976745,8749411166.684134,52445895603.34044
325.592181633,347.79,349.24,323.735234626,340.39234825259723,8640029640.096844,52601777568.16373
347.487913176,363.209080312,372.01,337.597591,355.6130621512281,9360396649.00178,54953876876.60738
364.111563903,396.64293601,402.33,361.474572845,380.8131253250278,11869780199.768972,58848112821.03059
395.765572046,373.113590738,404.464408808,357.023369553,383.17569304638874,15548562582.455376,59213206990.76362
370.905204256,418.67,421.057389334,369.759620448,400.1997252100765,13377690421.730246,61843978092.94781
418.68,453.05,453.05,407.036856674,430.42853669403814,10229491303.698862,66515320518.80443
453.78,472.244603016,486.72,452.27035141,473.8584305226285,14366065668.895248,73226662964.39078
472.851293157,525.616205268,527.067538773,461.858433515,482.9248458519164,11721939290.250862,74627721375.19235
524.4866612,602.02,633.371207349,517.511475679,572.2768121361561,27157518926.21223,88435529570.32205
599.79,553.23,602.97,535.71647884,563.6542245077492,27945417579.399864,87103057090.19772
551.44,541.410771131,588.648124498,530.93,561.0714471513785,17249345464.732502,86703933312.28278
