price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
3.1127932881549194e-09,7.850586644229042e-09,9.595020481065549e-09,3.094705236635832e-09,4.6109808639407706e-09,115644.56927044611,0.0
7.850586644229042e-09,4.984845725971458e-09,7.996496640483217e-09,3.6933640132431213e-09,5.7356504304687845e-09,377184.7883566563,0.0
4.984845725971458e-09,4.28584718186417e-09,4.9953461171417e-09,3.0114504268570305e-09,4.127643612633998e-09,161899.30205864026,0.0
4.28584718186417e-09,4.157792219366091e-09,4.878561664063981e-09,3.69016819915275e-09,4.36544273340286e-09,44329.78776484979,0.0
4.157792219366091e-09,6.47537764404829e-09,7.680679139570588e-09,3.941327720041272e-09,5.071427337893375e-09,46097.80503645948,0.0
6.47537764404829e-09,5.454600916824953e-09,9.26776878728929e-09,3.7230123430194425e-09,6.682873449143466e-09,159960.65894843297,0.0
5.454600916824953e-09,5.2169367846695e-09,5.589447623859721e-09,4.2529082388223355e-09,5.069450392558494e-09,186181.0861560485,0.0
5.2169367846695e-09,4.289937223315395e-09,5.571527683065563e-09,4.281300778797621e-09,4.954686101976238e-09,44584.68063629738,0.0
4.289937223315395e-09,5.107182911516314e-09,5.37685423674712e-09,4.263397471033736e-09,4.862901168495023e-09,33438.72970072816,0.0
5.107182911516314e-09,3.985204960276549e-09,5.121249163617355e-09,3.985204960276549e-09,4.663917993195535e-09,20257.417389647457,0.0
3.985204960276549e-09,3.6051356031238638e-09,3.9957267557794824e-09,2.9212894184360193e-09,3.660110667130575e-09,78167.94692026562,0.0
3.6051356031238638e-09,4.862630380448339e-09,5.055010337499654e-09,3.6051356031238638e-09,4.390428522862534e-09,59082.50069355391,0.0
4.862630380448339e-09,4.151855169462207e-09,4.862630380448339e-09,4.050617137467409e-09,4.429594230489142e-09,24747.953548941274,0.0
4.151855169462207e-09,8.119898620753445e-09,8.119898620753445e-09,4.151855169462207e-09,5.6815341815421334e-09,66335.14241336705,0.0
8.119898620753445e-09,9.906230886056546e-09,1.2760822775465089e-08,6.262981796808903e-09,9.167179405504471e-09,178820.46555387918,0.0
