price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
3.431340076080343e-06,2.1711388784506068e-06,3.431340076080343e-06,2.1711388784506068e-06,2.5168061986267925e-06,1335114.8346678,0.0
2.1711388784506068e-06,2.015618446288482e-06,2.2488419371620954e-06,1.9257159912485857e-06,2.0788853527473185e-06,1956572.409614685,0.0
2.015618446288482e-06,2.157303271662663e-06,2.284470354439328e-06,2.0079587051272694e-06,2.10645987785652e-06,1580364.0129714564,0.0
2.157303271662663e-06,2.088720578896147e-06,2.352034460856768e-06,2.0029818480939355e-06,2.1329619940354154e-06,1152471.4464352378,0.0
2.088720578896147e-06,2.0670207147748935e-06,2.247529936559218e-06,1.8406227991846704e-06,2.0423227194663914e-06,15524915.403299265,0.0
2.0670207147748935e-06,2.0320936572178325e-06,2.1095190055333645e-06,1.978310905141858e-06,2.0551402043042498e-06,19769479.64417948,0.0
2.0320936572178325e-06,2.078805132715742e-06,2.2163366579204853e-06,1.9305903325500245e-06,2.0560449918709592e-06,31540821.5317555,0.0
2.078805132715742e-06,2.1109106247935055e-06,2.135791147062649e-06,2.0367957874542547e-06,2.075601695471343e-06,42836844.51744722,0.0
2.1109106247935055e-06,2.183612212695227e-06,2.2014924779618027e-06,2.0995876622307603e-06,2.1425563891080426e-06,58004577.19930269,0.0
2.183612212695227e-06,2.098060392426175e-06,2.2008020524762417e-06,2.0869881905761927e-06,2.13858332528702e-06,112359303.74245785,0.0
2.0940976997660407e-06,2.1425371699295973e-06,2.1425371699295973e-06,2.0237433466653606e-06,2.0831350376780126e-06,105142301.96953325,1979802371.5441496
2.142463880679059e-06,2.1667398754583908e-06,2.2128356754571066e-06,2.1190657072156427e-06,2.16230628610749e-06,55304490.42490842,2016345206.0295181
2.166898926929656e-06,2.0863614709711765e-06,2.166898926929656e-06,2.0587927364594552e-06,2.123447810947004e-06,44486734.38095238,1980109775.0885537
2.080193782474364e-06,2.072933688062954e-06,2.1094925062015617e-06,2.0373300877750063e-06,2.07636105934779e-06,51939244.73015873,1936201496.9391646
2.0729261576047582e-06,2.227998217041025e-06,2.236276257694346e-06,2.0729261576047582e-06,2.175384239543407e-06,54337083.32584269,2028540364.9136248
2.2382668012612262e-06,2.269476623823369e-06,2.359846511781521e-06,2.2173221932600225e-06,2.255156515762172e-06,56654149.925093636,2102927813.056936
2.2706974529275767e-06,2.2780420894829826e-06,2.287133838912504e-06,2.2211648152917588e-06,2.2496070256664426e-06,42429658.20224719,2097752927.4163942
