price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
18.949026947,19.462107186,19.468005665,18.692213499,19.080603747648535,458499098.1404327,4034263798.0490475
19.468279855,19.332662542,19.804045173,18.637892608,19.08619428881743,654467454.8833994,4036432721.899938
19.344706731,21.021576347,21.115188389,19.097143359,20.003385946857694,763192193.5040332,4231493022.651749
21.119000203,19.581188818,21.206831483,19.205749694,20.06211645268441,988005364.8133658,4244937465.463963
19.628800972,19.204131543,19.723150395,18.779825639,19.29437962340336,819916568.3804015,4083498431.203744
19.252539616,18.452288167,19.452895132,17.961853587,18.731993654955822,735234080.6450437,3965467916.986146
18.537002105,19.374545231,19.783712622,17.911379824,18.98686707382879,788927853.6108241,4020409733.7385726
19.414241439,18.697416289,19.51455194,18.503327586,18.96398298200787,539301611.2361199,4016529550.3314004
18.581442247,20.024162768,20.850469738,18.045222782,19.24032786044526,656053547.7166147,4076039614.6485167
19.920267281,21.030813443,21.777286769,18.79985669,20.36179150413969,1183373105.1053834,4313931635.959587
21.030813443,20.95,21.54,19.62,20.56937302260385,1048627216.0561256,4358267635.429024
20.95,22.24,24.45,20.62,22.331012751194745,1254734602.4473727,4733164396.74242
22.17,22.29,23.12,21.56,22.477496916636362,1532824906.7015748,4765299948.144723
22.24,21.06,22.71,21.06,22.256304101615395,660295908.4684117,4718406376.593649
20.85,20.55,21.23,20.0,20.70322081767624,698335901.412129,4389147842.163947
20.54,19.37,21.08,19.184285718,20.282826607245067,592521471.7364873,4300022949.09433
19.29,18.84,19.85,18.76,19.325931770507577,755495848.7585808,4097158238.0992966
18.79,17.55,19.75,17.21,18.88681390464062,759222320.8599145,4004063871.2662888
17.55,17.15,17.95,16.82,17.420493249682828,985337145.1210363,3693199286.7020583
17.16,18.93,18.93,17.12,18.157549033075387,945215990.3437942,3849457427.873494
18.93,18.74,19.18,18.08,18.699466310666676,668343742.0082015,3964345592.8850164
18.72248298,19.31,19.82,18.49,19.166113901132302,705997467.8289038,4063276347.803809
19.3,20.25,20.770377744,19.11,19.839918479500003,730548540.5136721,4206125034.8379383
20.29,19.88,20.59,19.57,20.02296124227352,777516326.6919929,4244930675.4832425
19.97,19.11,20.11,18.74,19.26940128220419,657761988.5907949,4085173597.01671
19.11,19.59,19.81,19.0,19.404483480415266,766412544.9585222,4113811447.330641
19.6,20.28,20.44,19.31,19.787267783450602,623625532.5833156,4194962921.8996325
20.36,20.27,22.55,20.25,21.39102505213187,941010261.2632668,4534964500.261646
20.26,21.61,21.86,20.04,20.935972237112395,1148076791.007071,4438491874.156626
21.61,21.52,22.13,20.41,21.245801175942844,837254949.5907344,4504176582.361379
21.56,21.66,23.24,21.301955107,22.01390093691241,1192633698.1128826,4667016144.288279
21.66,19.86,21.99,19.12,20.474717629940955,1363636890.03584,4340704448.635561
19.770202148,20.57,20.68,19.72,20.262564004012447,1045198268.5110213,4295727213.564176
20.58,21.51,21.557629082,20.58,21.12695926018796,599469900.4743302,4478981722.938884
21.51,21.194529169,22.69,20.79,21.837549676347237,672420968.4821024,4629629123.129148
21.172049748,23.581376738,23.581376738,20.938880681,21.624722797330996,637776258.579761,4584509156.288477
23.569730481,22.27,23.932353524,21.431250652,22.64693901060767,1037959537.0262015,4786999520.60208
22.17,24.2,24.87,21.634887781,22.968715115003484,930925542.9931607,4838173907.226628
24.0,26.942533147,26.942533147,23.099646966,24.53411704952083,1560731187.0526743,5167913152.804048
27.157648656,27.9,28.421741268,26.15,27.049331471180555,2174824401.09624,5697722710.065927
27.94,25.67305879,28.1,24.431468582,26.056066111065974,1345361394.4482548,5488685765.445463
25.65157905,24.59,27.596399247,24.59,25.990158019197903,1107607825.9143834,5475877828.734335
24.53,21.350081566,24.79,17.880740174,21.3573734482257,1452265930.0532598,4499794409.050986
21.385376607,19.354027542,22.3,19.125315328,20.754016197618053,1188974919.6861625,4372713483.05456
19.304935162,21.24,21.5,17.819109591,19.546022292343725,1238376544.546158,4118430956.9517374
21.31,19.68,21.526272442,19.5,20.62447841495324,1114021530.5079951,4345933839.282732
19.73,18.974217074,21.44205668,18.898611769,20.108572852222988,929912599.6671638,4237323506.6390634
18.792385984,20.521182366,20.521182366,16.854601488,18.674454594131973,1304095500.8370497,3935251226.229353
20.537667132,18.486345206,20.537667132,18.486345206,19.332436002437504,784575027.8653262,4074560875.2436504
18.498710649,18.620184612,19.65,17.868968144,18.82254006790637,477051269.03170973,3967093713.576887
18.731333086,22.059182964,22.751608684,18.565520482,20.88228746304905,673260395.6932366,4401212111.696772
22.124698745,23.021225945,23.440812214,21.889260226,22.599331888763896,734184502.9970478,4763157075.830187
23.100029089,22.978088557,24.136075865,21.937249865,22.963048271166656,629373902.7645383,4839858834.250679
22.993549467,22.110702327,22.993549467,21.26,22.270588073024314,515335790.0116885,4693910893.551782
22.21,22.732264659,23.460915304,21.8,22.844087393153323,512674790.7441104,4814785775.587723
22.765292187,23.850972721,24.493987561,22.50714518,23.442539733010452,489182484.52098006,4940919937.295363
23.858126097,23.1,23.968288151,22.454165197,23.107977555776998,531024648.18774617,4870405182.896554
23.14,23.050412106,23.81,22.64289347,23.29163957611653,392666262.2728494,4909115124.240564
23.029208971,21.034482215,23.194638841,21.034482215,22.200016006777773,574024593.3381348,4679036612.304743
21.005402321,24.77,24.77,21.005402321,22.87073278364931,658606402.3951707,4820401751.61414
24.81,25.65,27.05,24.49,25.627200582458343,1065234301.4914063,5401374925.116746
25.58,28.61,32.097511364,25.069970235,27.110266430961797,1292859915.7409556,5713956654.854603
28.73,29.356636624,31.331745077,26.97,28.619946139369343,1970617394.1855142,6032147715.002296
29.503766447,28.889254853,29.760395331,26.756332763,27.909913818180556,985518528.1449438,5882496146.023798
28.8294639,25.436074192,29.848648531,24.641925846,27.806754967145846,773214306.7980039,5860753637.336982
25.356469309,26.833330276,27.066877292,24.104946554,25.62266571901735,827541038.6708577,5400419124.361215
26.956308385,23.765294207,27.788249629,23.765294207,26.47386683400001,593197965.5359589,5579824453.628653
22.940993297,23.501710912,25.29,22.081251619,23.781801014760404,848494377.6322232,5012425109.091675
23.548926862,25.66,25.77,23.519764454,24.534427842400692,625732013.3059666,5171054205.61379
25.799578438,24.63,28.64,24.56,26.746548242121957,1115632862.251838,5637296767.6895
24.57,24.35,26.543660161,22.866140285,25.189918963671346,1088962355.5165415,5309210275.164801
24.33,21.116968438,24.33,20.742990017,22.650154904839184,868296846.3374343,4773911155.818976
21.096272495,22.912987666,23.294723625,21.025162606,22.391649102668985,695068058.0717362,4719426595.425949
22.832881489,14.071877386,23.470459205,10.630729437,17.589489055416664,840885823.3640642,3707288465.7786255
13.91919589,16.584444415936773,17.32,12.358513519,15.555925707533214,1118691887.1505327,3278679884.8081136
16.91,13.458314214117022,17.515321771602945,11.46,15.18741229181112,636735235.456446,3201009320.797588
13.548182231263766,12.28,13.681511510377296,11.610788866430871,12.697139064444139,602511405.1567944,2676141248.543271
12.25,11.788107529710006,13.09,8.57,11.141510788551399,440693506.6666667,2348265734.5879483
11.761880673956124,14.29608245316455,14.32,11.174832175732991,12.843654500231736,696676346.8531469,2707021905.931474
14.434051732400336,13.818020107812966,14.91014892902928,12.478198868128969,13.685330076948013,504423283.8888889,2884419563.569914
13.906181388131603,15.155962823792931,15.60910275246868,13.69,14.731724991788603,419310712.8888889,3104965355.7879825
15.24524000253174,14.50919367809797,15.295936008697716,13.68,14.503090486261183,352013283.5555556,3056776686.830608
14.474855354592938,12.71,14.561828870003922,12.080072664673745,13.115227906667444,310426395.31707317,2764260689.5095196
12.7,12.05,14.214099166101446,11.44,12.693391941445924,337390437.8888889,2675351477.684814
12.06,12.540986607866412,13.086449074361756,11.368093509417111,12.558117541548889,296610141.2027972,2646840062.6645474
12.57,13.903527716789611,13.93,11.93814059579717,13.094627000492228,237625574.5226481,2759918692.899648
13.962210578434217,13.76,14.51,13.385298630494194,13.841954683460873,245875924.90592334,2917430903.2030797
13.74,14.93,15.270783839224324,13.62,14.467289002378315,236109018.3888889,3049230906.0612783
