price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
92.583084445,92.155622195,92.778402485,91.504577332,92.07880172020371,1800239.893867698,1641880409.4097872
91.579095275,92.464052415,92.840966351,91.528713681,91.812937511445,1928938.3403741524,1637139994.556463
91.537848503,92.593411808,92.951294832,91.416708283,91.99396568833197,2288421.6438519075,1640369424.5473156
91.791608294,92.881950099,93.240347602,91.555708084,92.3216952999583,2218248.3342178157,1646213260.3946788
92.598360609,91.826311979,93.383830675,91.581657265,92.34196329166251,2650358.608447049,1646573555.9113612
91.933313751,92.763447492,93.04196613,91.437679991,92.29542557412877,2661358.850065891,1645743176.4503858
92.763447492,91.738848126,93.017126729,91.382377597,92.0172977088909,2491483.6768929586,1640783807.8408523
91.738848126,92.271102281,93.1612996,91.575104213,92.33387502355971,2866855.3529149788,1646428734.6959836
92.664395323,92.769575064,93.099256783,91.398250342,92.12358395676824,2800039.588465644,1642678932.799876
92.679631198,92.18,92.83,91.408169789,92.14017758649801,1845700.1347840568,1642974818.009774
92.18,92.08,92.91,91.58,92.11021019211388,2079644.022215916,1642440461.8187623
92.08,92.01,92.95,91.4,92.38333016120635,2361769.377564531,1647310533.087
92.01,92.630182543,92.98,91.401759868,92.30857128249774,2335078.8688987466,1645977488.6067517
91.98,91.98,92.84,91.44,92.18105583906357,2052344.6082160466,1643703834.837754
91.98,92.81,92.93,91.42,92.30051346575983,1635131.43068215,1645833992.2388966
92.81,92.68,93.09,91.56,92.38031821828235,2266139.9934158144,1647257011.1313388
92.51,92.83,92.97,91.37,92.15093456634223,2366290.204936974,1643166812.7407622
92.81,91.41,92.83,91.41,92.2252849584625,1587927.0303724,1644492573.5420105
91.41,92.312490621,92.6,91.36,91.97408449409318,1563446.2758803444,1640013396.1123912
92.175054595,92.58,92.59,91.64,92.26794177760429,1421115.8684988793,1645253290.429556
92.58,92.09,92.65,91.77,92.27358037853058,1432783.8557049485,1645353833.7661495
92.083015193,92.1,92.67,91.61,92.19356774210496,1528526.1948021834,1643927107.9628167
92.1,92.1,92.487681444,91.54,92.05974071537882,1437868.5249863805,1641540803.9895437
91.69,92.44,92.91,91.48,92.10450718952814,1610135.9288715306,1642339046.4503176
91.97,92.0,92.7,91.5,91.91791814233491,1699600.8796541356,1639011929.3830183
