price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
3.752034103525356e-08,4.575250988191083e-08,1.5824731816400336e-07,2.8572504265207817e-08,8.621258915476028e-08,201608814.18986636,0.0
4.575250988191083e-08,9.935476947659266e-08,1.2001626562740672e-07,4.575250988191083e-08,9.623284412220335e-08,114178592.70154954,0.0
9.935476947659266e-08,6.442548581610443e-08,1.0912114981179651e-07,5.493762649959666e-08,7.99886695251342e-08,23149744.1507866,0.0
7.366690643237108e-08,1.192778593614172e-07,1.5533246704090828e-07,6.427178006829266e-08,1.0195031297099146e-07,24368260.761558224,0.0
1.192778593614172e-07,2.3859531073480226e-07,2.5039426661165586e-07,1.192778593614172e-07,1.712757726723139e-07,37759463.78399168,0.0
2.3859531073480226e-07,2.493151640605599e-07,4.2118825063127034e-07,2.3859531073480226e-07,3.161290550166393e-07,72214704.4896604,0.0
2.493151640605599e-07,2.787782568465049e-07,3.6753196787931284e-07,2.3447223332779877e-07,2.811761901848684e-07,67563937.75027311,0.0
2.8463402696216486e-07,2.1582940506277198e-07,2.8463402696216486e-07,2.0380573323086908e-07,2.4340667073323664e-07,20240744.54043676,0.0
2.1582940506277198e-07,2.806554571376146e-07,3.03124060376545e-07,2.1582940506277198e-07,2.5435462700621373e-07,14306863.363064852,0.0
2.806554571376146e-07,1.7060864203873057e-07,2.806554571376146e-07,1.49840399167014e-07,2.091572947714015e-07,12690572.680304967,0.0
1.7060864203873057e-07,1.8218711188991224e-07,2.0302587202279571e-07,1.6154785956749133e-07,1.7485645205759582e-07,15013026.061441967,0.0
1.8218711188991224e-07,1.9285767480954335e-07,1.956571312083203e-07,1.695376187790101e-07,1.8198056503804605e-07,5132534.427899493,0.0
1.9285767480954335e-07,2.975402361666376e-07,3.1107335375517384e-07,1.9285767480954335e-07,2.5240376696464036e-07,10913803.349262789,0.0
2.975402361666376e-07,3.1424389526417325e-07,3.368507093635388e-07,2.824717652849189e-07,3.058797543768407e-07,19782425.673375748,0.0
3.376384080222584e-07,2.595390196541881e-07,3.376384080222584e-07,2.2109963669528492e-07,2.7205998398229183e-07,11390945.992696749,0.0
2.595390196541881e-07,4.5451705778258855e-07,4.913295342868744e-07,2.554872718695914e-07,3.6106570298162173e-07,29270489.807050224,0.0
4.5451705778258855e-07,3.7847303770083933e-07,5.384005643801876e-07,3.00892931078276e-07,3.8860811527954044e-07,54384258.5539299,0.0
3.7847303770083933e-07,5.499584691427817e-07,6.423146227979972e-07,3.7402535362699274e-07,4.5736580627956254e-07,28827333.37825381,0.0
5.499584691427817e-07,2.146987798329153e-06,2.146987798329153e-06,5.464604027880849e-07,1.2414880437821911e-06,154222843.27284896,0.0
2.146987798329153e-06,5.5076564705715e-07,2.2905007201531436e-06,1.9391382655134836e-07,1.5763279546394483e-06,194752575.18188995,0.0
5.348641531787981e-07,5.86e-07,8.25e-07,4.463395052520681e-07,6.169895732302798e-07,288465776.42507505,0.0
5.86e-07,8.29e-07,8.55e-07,5.86e-07,7.535839160839163e-07,107109994.03271748,0.0
8.28e-07,5.72e-07,8.88e-07,5.55e-07,7.107667844522973e-07,62852883.198900044,0.0
5.79e-07,5.46e-07,6.41e-07,4.63e-07,5.66971929824561e-07,37670530.24940571,0.0
5.49e-07,3.89e-07,5.49e-07,3.63e-07,4.5231228070175416e-07,33273704.81467783,0.0
3.88e-07,4.43e-07,4.87e-07,3.86e-07,4.363391608391609e-07,30955639.79637082,0.0
4.41e-07,2.32e-07,4.44e-07,2.12e-07,3.064895104895103e-07,19279616.546557132,0.0
2.33e-07,3.796757608857166e-07,4.2959850946964846e-07,1.75e-07,3.124578729953606e-07,21544832.653334092,0.0
3.789961599780677e-07,3.043451868329174e-07,4.314687069183804e-07,2.359073438930274e-07,3.4728839941330634e-07,30919851.163763065,0.0
3.001803104228331e-07,2.802253743229999e-07,3.106204141740483e-07,2.373777780406815e-07,2.75302542988095e-07,17006553.178947367,0.0
2.722172211293929e-07,1.897801362077471e-07,2.723934548803619e-07,1.652992338306913e-07,2.265149000069936e-07,9431566.963157894,0.0
1.897453964978919e-07,2.257686096597183e-07,2.5515249271659564e-07,1.7285299640486217e-07,2.0695199691858793e-07,11699241.195035461,0.0
2.292340225904036e-07,1.9969441216150525e-07,2.355374973870613e-07,1.847503782178959e-07,2.060786344701533e-07,7819470.352112676,0.0
2.0056206448796272e-07,1.7295534168698593e-07,2.0789363299312695e-07,1.696582529167939e-07,1.8858130306762822e-07,5921862.281021898,0.0
1.7330155854252948e-07,1.9439301029399137e-07,2.2060805851502643e-07,1.573728721188825e-07,1.9093088222847242e-07,10372564.832740214,0.0
1.964977585314967e-07,1.653450062432143e-07,1.964977585314967e-07,1.593977528959474e-07,1.7568284639366737e-07,11328004.082142858,0.0
1.632058029472136e-07,1.7512991410802385e-07,2.1309842291365785e-07,1.6190216550621186e-07,1.797839234746682e-07,9500560.714285715,0.0
1.7562161058838527e-07,1.6306746311759665e-07,1.815495651469044e-07,1.6180328752735108e-07,1.719013057714191e-07,5991656.598181819,0.0
1.639936061855722e-07,1.488851472026547e-07,1.7172458303071482e-07,1.488851472026547e-07,1.6228545192802938e-07,4341939.228021978,0.0
1.4861418045986157e-07,1.378385914076686e-07,1.5736003994234325e-07,1.2927478921921734e-07,1.444150925147911e-07,5695501.29390681,0.0
1.3835571415025834e-07,1.4974663946457466e-07,1.5903183897006108e-07,1.3259112729776666e-07,1.440437563651568e-07,8033784.874045801,0.0
1.499251328695598e-07,1.4438214507541314e-07,1.697384196501032e-07,1.38429548567677e-07,1.5238576006564357e-07,9477392.22693727,0.0
1.454880194877434e-07,1.328366203323259e-07,1.4617674360753906e-07,1.2377701790488508e-07,1.3414621187142364e-07,6716760.352490421,0.0
1.3447880999086366e-07,1.2449482084182397e-07,1.4270847079126138e-07,1.2283818233162441e-07,1.3257602185786312e-07,5120430.703373016,0.0
