price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
0.009688414,0.009937922,0.010674263,0.008950939,0.009558494989361706,16220281.619832948,38002994.9019025
0.009871232,0.010378281,0.011011129,0.00972999,0.01034128505574913,9162041.50627863,41115238.7159433
0.010253107,0.012996418,0.013074742,0.010205282,0.011469386498245611,9457895.516240574,45600383.43964065
0.012856797,0.012384985,0.013630918,0.01186842,0.012565846484320553,13821172.265508251,49949341.35724702
0.01256295,0.011558186,0.012615237,0.011015467,0.011757676362369338,7833599.213607019,46732323.11370551
0.011558186,0.012184746,0.012548918,0.010633674,0.011726017586805556,6644148.412415508,46604752.77312698
0.012167624,0.015299387,0.016157265,0.011892461,0.013797610062717774,11585930.285796784,54835653.60862345
0.015222555,0.015030838,0.016442729,0.014527666,0.015343987635416674,16510082.604393266,60977023.480684415
0.014786849,0.0174009,0.018760942,0.013598736,0.01598050572125436,15515193.32902081,63506547.0431525
0.017640252,0.016276016,0.019030398,0.015828243,0.017089571888888884,23136517.368570555,67904015.13456969
0.016085336,0.020275394,0.021456995,0.015844158,0.017805152034965032,16009713.302970923,70739029.94932131
0.020227952,0.019274538,0.020909204,0.018761886,0.019551370767361114,25457850.440608975,77676531.37021983
0.019052834,0.028234734,0.032395467,0.01835202,0.024362425826388905,51187652.120870344,96784444.82408689
0.028063628,0.026818329,0.032185828,0.026811148,0.02876418634375001,114289772.85100779,114190222.06043637
0.026964995,0.02790721,0.029325433,0.02541434,0.027131380256944445,49556561.44010487,107645359.60218777
0.027919909,0.024262692,0.029226087,0.023745665,0.026411640885416657,30210148.708508126,104780320.10308766
0.024101323,0.021564709,0.024759012,0.020597959,0.0226176597630662,19239799.56305092,89714098.66784863
0.021725849,0.02107385,0.024433651,0.020850948,0.02274329334146341,13155243.12640062,90208504.36135642
0.020982733,0.021113497,0.02375425,0.019766738,0.021104217641114982,13876875.674932543,82525583.03654848
0.020822079,0.0229081,0.022949908,0.020822079,0.02223305063732396,11127411.64846486,84711725.40238865
0.022891075,0.023211742,0.024237472,0.021636748,0.02297210316961129,7213504.179117709,87518779.89607446
0.023114935,0.026577003,0.026791361,0.022805563,0.024710503141342766,10021223.709979208,94138960.00815235
