price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
2.655369899880006e-05,2.655369899880006e-05,2.655369899880006e-05,2.655369899880006e-05,2.655369899880014e-05,110203.3191527761,0.0
2.655369899880006e-05,0.000335067,0.0003790758000000001,2.6497083806018668e-05,9.249362425207988e-05,522095.7820903397,0.0
0.0003080924,0.00035608274460830364,0.00044807466666666666,0.0002560597333333333,0.00034967768399143105,2464274.0286697247,0.0
0.0003851016597331621,3.507350836289733e-05,0.000385114465411893,2.3266202666666663e-05,4.259962253891906e-05,690126.021484375,0.0
3.431619659318819e-05,3.2663863690706704e-05,3.592348651276226e-05,2.8655733056543702e-05,3.127957042579378e-05,1044418.7471491228,0.0
3.195415577750634e-05,3.10990292377411e-05,4.0272036935248734e-05,3.0288959664089933e-05,3.310275402390185e-05,2546090.667293233,0.0
3.103603913440535e-05,2.8915493441148896e-05,3.153153697509949e-05,2.7995093424340006e-05,2.9409067123686098e-05,16009925.689338235,0.0
2.8905691202947118e-05,2.6019189876901938e-05,2.9426553059807772e-05,2.562703880645765e-05,2.722681210447985e-05,796490.8880597015,0.0
2.6019189876901938e-05,2.632503570651583e-05,2.661384129186684e-05,2.5110574952786663e-05,2.5895702213887904e-05,608375.1162735849,0.0
2.632503570651583e-05,2.59845028664834e-05,2.665403675642788e-05,2.57663065868922e-05,2.6086448341923534e-05,452795.65953307395,0.0
2.604120827480508e-05,2.6375644646240117e-05,2.769826255066731e-05,2.5749198524982468e-05,2.6403210043931495e-05,468327.35090648854,0.0
2.631249209482853e-05,2.587043219655237e-05,2.7020305804173747e-05,2.534527752031408e-05,2.6119077470399113e-05,461114.390813253,0.0
2.584360696183081e-05,2.405098472912884e-05,2.6560627321152567e-05,2.397042215678871e-05,2.5014995007560934e-05,509075.2218017578,0.0
2.419526819608638e-05,2.6515326179640328e-05,2.7017137673981227e-05,2.3788171885442928e-05,2.5904357159081025e-05,710549.0387406367,0.0
2.6287142575200684e-05,2.5036352817338583e-05,2.7245936161136903e-05,2.428364858981869e-05,2.5027987370887002e-05,581728.2346398305,0.0
2.500301092599788e-05,2.242509312089301e-05,2.500301092599788e-05,2.2127496782848724e-05,2.35599749378322e-05,397318.78899898374,0.0
2.232930040417475e-05,2.26978868427356e-05,2.3113549499040414e-05,2.2146215256575237e-05,2.2629963880693075e-05,466235.52040289255,0.0
2.2620064226022877e-05,2.49574403321004e-05,2.621530245996588e-05,2.252534585152207e-05,2.4650290948675155e-05,584181.2989864865,0.0
2.4982770694214595e-05,2.257068065617049e-05,3.0315497239104607e-05,2.185068076803025e-05,2.547545085299722e-05,5108010.341951439,0.0
2.260324129574801e-05,1.9114772105624377e-05,2.4129952112303416e-05,1.7455548091496266e-05,2.0365904651939554e-05,9186593.049469965,0.0
1.9114772105624377e-05,1.983570184861362e-05,2.1269165131086125e-05,1.8097081963285463e-05,1.9926328861454475e-05,6451557.174377224,0.0
1.982818847625061e-05,2.0235222993047837e-05,2.052316193525037e-05,1.952400758957105e-05,2.0206954576730577e-05,3081144.7607421875,0.0
2.018923245889492e-05,1.888172839111669e-05,2.0552273550714025e-05,1.8725770419124785e-05,1.9608580869735872e-05,1421119.8048418972,0.0
1.9014585353689668e-05,2.027923205759132e-05,2.1807491087148956e-05,1.9014585353689668e-05,2.048065318365008e-05,1769616.0153256706,0.0
