price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
0.573468485,0.697411624,0.719269304,0.566404866,0.623824301326241,176413260.36518466,520465196.5473964
0.700355364,0.793609531,0.87734878,0.664837312,0.7757723164930065,585510847.1976575,647237515.9498734
0.797729554,1.19631612,1.308701477,0.789593179,1.0143647242361111,1107837002.807783,846298444.045699
1.196595016,1.307638397,1.506018388,1.098048584,1.2984078836111108,2140309576.0714314,1083279559.494005
1.310693018,1.213012398,1.379739312,1.155046779,1.2400535546866194,1353183353.4532876,1034593740.0917995
1.206960475,1.161979731,1.257884812,1.098801988,1.1648256642124528,520144811.6719972,971830076.1591133
1.161979731,1.422470842,1.425664634,1.133384896,1.2735961848485924,574020223.1944296,1062578817.8818954
1.410840286,1.752040569,1.829675187,1.402468436,1.6451343693881115,1623122406.158082,1372558236.4940212
1.745116671,1.732512032,1.936888608,1.661555258,1.7713862151423498,1533670893.1471243,1477891888.2534232
1.711838883,1.659897436,1.751036003,1.540151876,1.6595267611721625,734635072.1720152,1384566006.9555879
1.655387533,1.79736626,1.936510047,1.625248725,1.7467044900501798,624965059.3259529,1457299585.462533
1.797021275,2.081226479,2.201367664,1.797021275,2.02915806586411,1175968925.0061893,1692954489.4779408
2.079186777,2.047814754,2.202913221,1.928525084,2.0710350559999986,1035679810.4435471,1727893038.4500673
2.048208104,2.400700462,2.612359615,1.944815624,2.189687311514086,887923249.7081082,1826886247.524545
2.351463998,2.708552633,3.031936433,2.351463998,2.744688153361112,2183287921.150116,2289931085.0241
2.685857426,2.56,2.914727713,2.363506766,2.6027999387937037,1806945581.7985919,2171551795.6543465
2.56,2.49,2.67,2.27,2.4423899087027996,1015454449.8422865,2037719500.788719
2.46,2.67,2.79,2.457893359,2.6185418952695048,972917712.9271466,2184685526.5042014
2.67,2.48,2.67,2.48,2.5771263712786188,649059215.0163491,2150131985.0852485
2.5,2.22,2.51,2.22,2.420514017628353,483500356.12907356,2019468143.9186738
2.21,2.44,2.5,2.17,2.3023799908546123,553405040.632784,1920907300.211537
2.45,2.18,2.45,2.07,2.2862231094423064,482231830.947917,1907427391.7790358
2.17,2.05,2.21,1.98,2.11349436850537,412012077.53840125,1763317426.9860616
2.06,2.21,2.57,2.02,2.3664493511484115,860054233.0511333,1974361248.906841
2.2,2.12,2.25,2.05,2.146108859010674,748363223.3145604,1790528145.0921814
2.12,2.34,2.34,2.12,2.2675549972573474,487930727.87555444,1891852328.965912
2.34,2.32,2.38,2.228073012,2.311076205298855,366882925.8958451,1928162671.5561867
2.32,2.52,2.65,2.29,2.4531374134157695,438450103.80744773,2046686291.8241737
2.53,2.5,2.57,2.41,2.4828160417276335,502436309.8802277,2071447579.7136388
2.5,2.52,2.52,2.43875094,2.4675047211398327,328092606.23730993,2058673134.3094032
2.52,2.57,2.67,2.37,2.523026117927483,461750052.2143528,2104995399.4572008
2.58,2.52,2.645334127,2.48,2.5470294068700774,501543931.63685775,2125021673.6352568
2.52,2.59,2.59,2.46,2.5125255920843363,330310008.24464273,2096234666.2905319
2.62,2.36,2.62,2.32,2.5093252480193837,298949891.5407261,2093564575.2100067
2.36,2.46,2.49,2.33,2.419388410031749,301279743.63564086,2018529034.015843
2.46,2.56,2.73,2.34,2.5105523202344293,418839842.48288125,2094588338.4398582
2.57,2.39,2.57,2.37,2.4622178846954834,563502965.130339,2054262253.9328842
2.39,2.909438131,2.98,2.08,2.377680379749117,674123393.9951091,1983731450.5736706
2.927797623,3.4,3.63,2.68,3.1057562338611095,2893539706.201063,2591175151.798833
3.4,3.65,4.196507848,3.25,3.6540923572787443,3649142850.1965966,3048659523.0262156
3.6,3.339049475,3.721524381,3.27,3.4255060679861122,2731310070.707446,2857946837.2077885
3.345573622,3.192482066,3.359847146,3.080394158,3.218609725101045,1020597256.2780845,2685330372.0657916
3.194065365,3.07,3.205959956,2.967933996,3.090039090586804,640321329.4225001,2578062122.9443407
3.06,3.14,3.268834412,3.026645941,3.1259586807735182,593662114.6498553,2608030331.1829224
3.12,2.955370712,3.12,2.840894094,2.987620309927083,565661671.8867093,2492612725.2647686
2.95573842,3.21,3.3,2.912579832,3.1001436605347212,535188714.09838486,2586492504.660457
3.21,3.081280853,3.22,2.887733932,3.0577117763368027,630759371.5090992,2551090999.9387054
3.069047997,3.01,3.194884286,2.99,3.071004955781245,485576656.77943677,2562181682.4234743
3.0,2.721253482,3.02,2.23713078,2.66632953374653,554357144.7634898,2224555410.700123
2.73253349,2.432508605,2.8,2.423777295,2.631676567038193,432891309.23495185,2195643963.8544993
2.43340945,2.58,2.65,2.202420538,2.4470850825138895,462302617.6389202,2041636748.89082
2.6,2.5,2.82,2.48,2.690789561291367,536650770.48101026,2244962748.177383
2.5,2.235792005,2.574403368,2.200273208,2.4659201577073167,455391000.17288905,2057351111.2388244
2.220369845,2.225229931,2.263705138,1.792770278,2.0609885870277775,603570249.9291792,1719511131.1772668
2.245692354,2.030665621,2.245692354,2.007416248,2.111123498989582,386926472.04391706,1761339377.9329848
2.027008947,2.030905007,2.24,1.945812761,2.108703969288391,211164001.44653797,1759320731.0178084
2.042249531,2.549825693,2.558197882,2.026705482,2.339364988875471,317348414.36141074,1951764392.862958
2.555949328,2.598060767,2.66,2.492779892,2.578868868624999,361993362.9219836,2151585774.5928636
2.613536682,2.739244724,2.778871625,2.381700575,2.6096399649270836,360026713.93151987,2177258523.555664
2.744475927,2.648766042,2.86782334,2.544674588,2.695846228479167,450964149.2142745,2249181595.1767344
2.66,2.774136552,2.8,2.59,2.714411896648081,300362590.0553884,2264671187.5379596
2.779726456,2.73789932,2.83905924,2.689091676,2.7554519642195134,236642013.0508476,2298911480.5010104
2.734198812,2.65,2.737431834,2.617675626,2.665295732926823,186628155.28317702,2223692896.45425
2.65,2.646445208,2.750726258,2.615258159,2.6899971721503793,184907988.9723359,2244301647.0161552
2.641093739,2.324740509,2.641093739,2.297761919,2.476211545003474,257324882.63704702,2065937357.2386212
2.325736078,2.58,2.61,2.325736078,2.471881726312498,232253651.0663939,2062324929.9394293
2.59,2.49,2.593359182,2.411728915,2.5135139262847233,231140074.8469621,2097059247.1104317
2.48,2.49,2.720594609,2.408875855,2.537572606069447,262884176.6763185,2117131734.63008
2.5,2.470686381,2.586315468,2.437858013,2.5104229983135897,282495070.8529159,2094480443.3822162
2.470989033,2.438445375,2.482286889,2.344918347,2.4235756343715282,184619335.91499817,2022022492.8861656
2.439321955,2.203584722,2.503861613,2.079625304,2.3876882729166686,168192258.8025596,1992081173.5219438
2.200422924,2.335821152,2.347692829,2.147618554,2.259105995513889,241697823.33618477,1884803210.5784159
2.337388053,2.059520889,2.573015668,2.059520889,2.344501811059027,243740178.07712433,1956050114.2779605
2.023067862,2.057662928,2.18,1.916156269,2.068811061697916,303882297.25388646,1726037529.4083495
2.056227847,2.13,2.178095858,2.05,2.1170820638153303,213599798.4663492,1766310690.5390818
2.129981072,1.95,2.141093938,1.94,2.058522655665506,218424887.5831502,1717453770.7179043
1.95,1.97,2.155177658,1.825921735,2.016557748529619,240916463.08631787,1682441871.3832064
1.97,1.803775614,1.97,1.733881253,1.841108977388111,258353525.53701162,1536062547.9711049
1.800630688,1.897018072,2.01,1.789762275,1.9174539145714289,199618059.06327692,1599758179.3404436
1.893296098,1.219158698,1.93464867,0.888816744,1.494645402232639,233709435.94777706,1247003220.9194894
1.212641236,1.4748258995999577,1.56,1.046014868,1.3745888036937932,312292094.09840566,1146838349.1399038
1.49,1.2697401163862745,1.5795761681623015,1.07,1.3878927829765744,210375339.8888889,1157938042.078372
1.277278789434407,1.19,1.2948651404714917,1.1244144391359696,1.2003040392727342,165311852.5277778,1001430172.5479101
1.18,0.9536710819879084,1.22,0.7468355870782384,0.9941324613785467,126666383.77777778,829418388.8083929
0.9531657431484442,1.2592874000582153,1.314093444891984,0.9194904284950696,1.1215822317330044,231791102.6013986,935751485.5416092
1.261974639585668,1.2303638952754936,1.3069096050918307,1.0937307434368564,1.1967294380327045,201953765.55555555,998447833.557564
1.238440479490568,1.938884934172436,2.04,1.21,1.5175649984656336,281353749.1666667,1266139759.8323584
1.9329684864656476,1.721395132338476,2.0121496938366383,1.661809096831169,1.7914014902071682,855256858.0,1494622013.4856172
1.719074288519565,1.43,1.7369585614978449,1.34,1.5166388945844782,372586525.5470383,1265379029.0708694
1.42,1.35,1.48,1.24,1.3505169136122608,232129563.94444445,1126778290.463577
1.35,1.5328012912150517,1.723336857404605,1.25,1.5177192156463843,395673394.74125874,1266280374.5534887
1.53,1.6239350269262225,1.6465477084826154,1.438280006324434,1.567153843154159,534419275.26132405,1307525222.7382662
1.6274470118377438,1.57,1.711664932277057,1.55,1.6043374859557125,272740346.0348432,1338548693.1197498
1.57,1.59,1.6444746533766303,1.5364979415009905,1.5865609311424582,151091321.94444445,1323717160.2148924
1.58,1.65,1.682874063390697,1.55,1.6144418197588957,166102521.2222222,1346979053.2687206
1.65,1.5,1.71,1.43,1.5219847594361695,216763398.94444445,1269839250.485295
1.5,1.45,1.594361507456754,1.41,1.49969659547546,154243211.05555555,1251243541.662924
1.45,1.47,1.51,1.44,1.473062170708468,118596422.39393939,1229021612.1898851
1.48,1.330823892535896,1.52,1.330823892535896,1.467252661947567,102946481.27272727,1224174558.2329476
1.33,1.3325402456839366,1.367624189588024,1.17,1.289145961228475,154473153.73426574,1075574594.9643757
1.333779872962026,1.3709063004675517,1.3709063004675517,1.24,1.3138058222664712,167193332.2222222,1096149084.467913
1.3728794441606145,1.3,1.378023791908835,1.2579992995539433,1.3187802902544847,141875410.0348432,1100299437.9207299
1.29,1.29,1.5516401465423957,1.25,1.355658327267357,232023796.5277778,1131067931.881959
1.3,1.23,1.3218036518731002,1.159196649797286,1.225199288044683,346130244.0,1022221895.442721
1.23,1.31,1.3209770452453882,1.2,1.2446559372386328,147473235.3888889,1038455183.3756129
1.31,1.42,1.452432276855787,1.2750601695252222,1.354795769122355,164728087.91666666,1130348272.777912
1.42,1.41,1.4767318266113507,1.37,1.411759844341528,205345096.1111111,1177875173.5122519
1.41,1.3948601002227905,1.5288627498519405,1.3604121545305776,1.4266077445591372,201132285.8815331,1190263238.7453067
1.3960778467844628,1.4,1.4912192074083963,1.3772793405013928,1.4293209442018584,200749614.13240418,1192526945.6447172
1.4,1.28,1.4,1.23,1.315733200875889,119841353.69444445,1097757156.423699
1.28,1.25,1.3,1.24,1.2702145256184114,99646856.31768954,1059779509.069696
1.24,1.25,1.27,1.14,1.2264285473733567,83190193.57528958,1023247504.7564149
1.25,0.9408877378189344,1.26,0.9383178439586144,1.101590836629854,121727822.83636364,919091517.6087141
0.938505667015964,0.9112480517318404,1.01,0.7801064581912975,0.9223320184725468,180597316.40418118,769530306.906393
0.9134622045964392,1.05,1.08,0.8785681814027726,1.0145960833943641,211937014.8975265,846509087.6206287
1.05,1.0684474985554984,1.08,0.9785976240610768,1.0398895809951838,146660504.0613027,867612239.8279307
1.0713817158818504,0.9537467742248344,1.1068480322433651,0.936570814104526,1.0063544631379073,112184933.3986014,839632847.3532035
0.9518660023880744,0.94234410389135,0.9844756625527304,0.8956962285676442,0.9372385960186502,103906321.02564102,781967328.4607065
0.9505108720391828,1.0,1.0,0.9300517187184656,0.9567513152989994,87694786.15384616,798247397.4116391
1.0,1.03,1.04,0.9796606394579572,1.0059368946007115,84734325.67088607,839284456.927472
1.03,1.0825614576435143,1.13,1.03,1.0760201194314993,105658344.25352113,897757072.4638376
1.0881054592782675,1.1613579416409916,1.1613579416409916,1.04,1.0897298899925654,131459104.64111498,909195560.7047025
1.1618913800174062,1.15,1.23,1.0854454976347616,1.138080001483496,207005582.16027874,949535563.425406
1.14,1.12,1.15,1.06,1.087688430267795,124370948.72030652,907492307.3240595
1.12,1.15,1.18,1.09,1.1262106506771379,72083439.85245901,939632594.661599
1.15,1.18,1.21,1.12,1.1795171044445922,96598325.92248061,984107827.9899302
1.18,1.11,1.18,1.08,1.1237423655545768,78681212.76595744,937573227.5683408
