price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
1479.924674984,1560.109847364,1560.109847364,1477.038931796,1503.2728211688056,35342080.71179926,9377415858.451
1556.818383428,1597.91016205,1597.91016205,1519.097003514,1554.374363552243,22953766.614280898,9696187279.838886
1598.31595504,1709.290935434,1709.290935434,1589.4248031,1661.0018541064107,22020591.700752355,10361329565.91579
1712.722728496,1684.929326049,1735.824510053,1629.206308334,1688.71763719237,22700646.378017657,10534220620.806011
1684.929326049,1681.543167456,1690.570398787,1601.961464632,1655.9052157199376,23259404.618196752,10329536735.660961
1685.203790813,1639.686376374,1689.218960758,1621.795120999,1652.5667086004617,23727544.18532683,10308711128.249676
1640.19957989,1770.01341357,1780.322260486,1625.11894676,1686.0518330157254,31709008.375455715,10517591334.352081
1770.367144021,1728.476381993,1777.506441678,1723.084980653,1746.340775979501,32903628.558408137,10893673760.560131
1720.7756367,1641.14609455,1748.111890238,1628.022202392,1673.364753687795,24349527.67335779,10438449333.504473
1641.14609455,1655.6,1661.313536676,1601.416212387,1639.6020256018842,10085327.543190116,10227837435.704552
1662.51,1684.12,1689.61,1620.23,1648.0233552284215,14395391.838190384,10280369689.914888
1684.12,1648.66,1698.27,1641.29,1673.573847935458,21934110.245825414,10439753663.421392
1648.66,1658.33,1686.35,1626.65,1659.8262266666775,20375743.41873664,10353996001.946737
1654.94,1673.56,1723.19,1654.84,1683.8204640115878,25384137.35564231,10503672054.504278
1670.14,1647.8,1679.4,1621.06,1648.2700856220656,33033783.685426567,10281908794.11045
1647.8,1579.13,1661.04,1563.82,1633.8695705110783,25598168.17367839,10192078380.848104
1575.94,1551.47,1594.69,1532.62,1565.4079696743531,18500473.98037359,9765014914.828623
1548.18,1473.09,1600.56,1450.795222662,1551.6643022536043,16933100.33126334,9679281917.457983
1473.09,1469.116062248,1483.8,1438.64,1462.703051834082,26963236.84429542,9124341637.341002
1468.878383771,1523.12,1523.12,1468.878383771,1495.6211555005536,31146657.77319023,9329684768.01246
1523.12,1575.64,1588.471054379,1520.63,1554.8642187127627,36528150.39459953,9699242996.330208
1575.633329876,1565.64,1589.32,1550.97,1573.5221573781403,22421777.42776549,9815631217.724848
1565.83,1685.48,1691.44,1559.91,1619.680842324586,19671308.621575788,10103569094.420774
1685.48,1702.29,1710.39,1676.36,1697.5154596060659,35653756.47097426,10589101437.022636
1702.29,1698.61,1718.25,1669.69,1694.5725961702324,36757574.23856441,10570743854.909903
1696.86,1792.4,1797.26,1689.77,1739.2445076087538,35417604.122857735,10849407238.463406
1792.4,1858.47,1862.69,1784.69,1833.653491010895,32487442.606017493,11438330476.925964
