price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
45565.131249938335,49938.70574933366,49938.70574933366,45314.29569432706,47575.096006641754,378671062.93042177,1137331322.392703
49938.70574933366,49104.465436662555,52850.58969926101,47096.84470351324,48779.741924490794,354730279.4721171,1165877259.7323368
49104.465436662555,51542.35680560646,51762.71010741041,48320.44054730769,50454.60552623113,376770743.64407754,1205273491.4081628
51542.35680560646,48808.31209070899,58251.83787148882,47967.872893571206,49807.8903614181,404227883.5657651,1189309084.6488943
48808.31209070899,49217.67786151191,49550.47419915428,46789.058603374346,47874.7271335529,358136359.4801629,1146285685.799952
49217.67786151191,48933.986655087094,49582.14763584523,47338.52035815239,48452.28950617042,349299316.4516775,1158284176.5804608
48933.986655087094,50635.6240923271,50949.94182430152,48933.986655087094,50193.864428214074,380840100.68609464,1257444962.7025647
51855.838582864446,51258.40105908313,52050.62427891006,49207.54112375251,50627.33570561573,360344485.0732244,1311591443.792811
51865.57603971342,55055.48217547253,56747.21964413862,51674.7321744577,54100.009545284134,341315442.1961893,1428648044.2925327
55055.48217547253,56020.557951856,56827.828489279,52815.94258401661,55029.47308612612,189021447.8400005,1535578872.9101584
55904.603208017,57785.199368142,57943.897926155,54251.995454189,56106.51511312825,2073945.2604623723,1565708410.7469566
57792.496172183,57303.40798183,57911.753665935,55295.139161824,56809.208037682896,7387919.014325875,1585317759.499577
57303.40798183,61281.072557887,61619.323382431,56153.9728787,58724.003952685074,11803224.865547717,1638752054.3036304
61281.045591828,59336.122357119,61403.738906822,59336.122357119,60404.342093553285,7018870.35255851,1685643570.4626958
58940.806735895,55878.680055685,60410.733011901,55375.788866963,57324.156264818914,494565.0162079331,1599687904.7260365
55878.680055685,56405.02,56679.94,53553.724805781,55348.91582314637,2715071.8905461202,1544566844.960724
56665.04,58654.17,58654.17,54532.11,56146.17199912068,3872005.149141932,1566815075.8074613
58777.54,57712.91,59873.57,57429.77,58496.10784345855,9794883.505299367,1632392385.479555
57712.91,58082.23,59209.69,56464.69,58220.831643625854,11844931.31712851,1624710527.8470228
58082.23,58201.46,59701.98,57947.79,58747.49930925206,15339835.779000944,1639407715.7239897
58071.37,57289.16,58490.47,55820.62,57223.39432979565,6077524.719067375,1596876042.1672783
57358.47,54431.31,58160.72,53930.92,56672.900084663095,20204486.422891274,1581513949.7626092
54224.09,54463.04,55589.14,53057.54,54616.07525391387,11265741.282205973,1524116196.0357213
54396.97,52491.44,56869.52,52112.99,54927.54056291781,4435796.905705964,1532807946.9487839
52491.44,51404.454813049,53073.54,50614.93,52003.941693057415,3395522.690315387,1451221996.8864608
51307.28,54918.642272559,54918.642272559,51307.28,53121.30419119736,417294.35767351027,1482403114.7595534
54918.642272559,55803.17,56326.43,54006.3,55087.157166027435,5940561.002560446,1537262207.8751628
55792.418289179,55530.04,56305.65,54755.7,55747.98211460261,15691247.22771837,1555703188.8900998
55530.04,57432.88,58276.8,54936.89,56731.04360323742,6592061.80095421,1583136502.7919445
57524.07,58628.73,59150.88,57059.87,58378.88846701508,9850175.208219556,1629121261.560523
58628.73,58819.09,59543.69,57448.15,58680.747433532524,1792306.8399673428,1637544937.8801587
58818.42,58958.68,59469.78,57900.64,58874.87977351861,3439404.172871433,1642962394.9598098
58958.68,59113.79,59989.11,58585.92,59322.51729904438,1476714.768922722,1655454167.7471325
59113.79,57100.43,59592.63,57100.43,58946.97886849371,15121758.327986838,1644974392.3041854
57100.43,58265.3,58366.69,56516.32,57759.43746996406,8289536.894986331,1611834862.036817
58265.3,58787.7,59155.17,56950.36,58156.37431634861,7085521.807171325,1622911781.672026
59026.76,58202.79,59428.94,57563.22,58582.2471130931,2807033.9806423686,1634796187.937976
58202.79,56248.16,58517.96,55668.81,57069.134587283144,3297941.3947589905,1592571269.792722
56017.16,58095.48,58169.93,55789.679417527,57250.32484909551,9863971.30413282,1597627565.2388594
58167.64,58310.23,58891.09,57877.56,58353.970709656154,15413879.324677985,1628425906.6236646
58310.23,59915.85,61153.35,58150.36,59965.00182354113,12618282.709774567,1673383340.8877387
59793.34,60078.55,60678.29,59376.01,59889.38838578508,6816147.3993489975,1671273272.293719
60125.57,59975.3,61231.8,59653.363612555,60209.91915950832,19378997.87193807,1680218004.06524
59956.05,63558.2,63839.5,59956.05,62213.3499225014,10882339.35342345,1736125742.9373243
63702.99,62740.51,64746.59,61656.62,63505.354496926986,17327483.88343316,1772180422.591245
63000.92,63224.8,63633.65,62070.37,62983.92157682424,8284275.72278884,1757629315.5228577
63294.17,61535.9,63635.3,60303.07,61729.376889194595,6967009.991645989,1722619991.4698653
