price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
229.545323323,234.335426873,239.049398779,226.250202332,231.50673724272394,172874185.9512082,1960884752.1061225
234.335426873,242.727192915,242.740949374,224.156081223,232.15264397685505,170806347.98396134,1966355645.4430723
242.975871179,289.010847499,296.447092528,239.582826134,262.9718700075299,271877726.53414625,2227397510.207038
289.084162388,303.119320809,316.235595552,268.630569136,297.8909847644872,481426585.6626154,2523165834.2717156
303.887100242,328.640046849,343.048946104,279.695720475,306.37091624914024,417644122.33789986,2594991684.98001
328.623622078,315.611871859,335.041497824,302.273202328,319.83803093210594,401607708.6269337,2709059466.1219664
314.697180242,314.541765818,322.110956022,302.609463253,315.0002250747971,314642564.86869144,2668082776.405585
313.879184495,301.903729604,320.658234452,301.903729604,309.954414332876,243036923.1978335,2625344264.9320626
301.267773538,310.735612807,323.169368235,280.313854121,305.22459103793227,279540791.5582305,2585282198.101205
310.942099041,318.83,333.211783459,292.78097715,313.4678851942855,363562764.84470683,2655103707.448349
318.83,348.05,348.05,310.85,323.68697284270405,313888406.37608165,2741660381.301045
346.37,368.37,389.94,344.7,367.32314453165833,810372261.2176137,3111263031.851311
367.82,384.42,421.01,357.91,395.8981427272462,715571595.0042045,3353296066.9177628
383.685035263,391.66,410.97,380.65,396.25830455747837,406536568.3943571,3356346672.915688
389.07,401.17,414.99,383.671253937,401.30894033387995,375808144.2293897,3399126052.9041133
400.33,438.4,458.96,398.62,434.6608164415037,431558128.489074,3681619712.019545
437.18,424.73,452.65,417.81,433.0278349536924,585671520.1574675,3667788198.7855973
422.83,425.88,487.39,417.18,453.44173113981765,504749148.9413267,3840695900.0439095
423.882986329,411.21175538,431.21,373.62,405.784757698,747113928.5610216,3437036664.608313
411.38,452.65,452.65,408.72,428.24732721869907,625664088.7768692,3627296829.7804503
452.65,472.73,502.932080514,449.71,478.6073706710927,666123771.2952237,4053851333.106481
472.096053041,512.627778207,518.553278399,470.557590372,488.2522388776142,645756021.8361776,4135544312.012795
511.94,547.97,566.62,510.22,542.7772449782145,721606198.5419354,4597376457.135484
547.98,542.24,555.480315627,520.09,540.5704809272635,638598797.1451714,4578684949.361059
540.49,497.73,557.92,480.13,522.6853598193156,565946067.2124212,4427196220.83487
497.086151677,465.0,506.88,450.82,475.42665657444525,875427839.7824484,4026910372.9978933
464.0,451.51,464.0,425.731280337,443.71503746170913,806678454.9736555,3758309851.3743463
450.53,447.99,495.22,436.82,467.1354973474073,678812768.231999,3956683441.811278
446.240889631,456.89,460.83,440.32,454.3615365601563,600402423.888906,3848486742.0951037
456.670914884,468.06,480.26,441.99,455.5091798926546,444732739.69824654,3858207393.5904145
467.49,451.55,473.32,442.895210302,455.76109760585393,555605457.7625747,3860341161.3091474
450.64,439.02,473.48,385.32,441.5457620242426,612076587.4906955,3739935875.8300147
435.0,461.14,467.92,433.72,453.4470331604593,642233628.294705,3840740808.678338
461.14,450.86,466.99,443.71,453.39572687871436,342735047.7713462,3840306239.4439435
450.82,449.269205112,460.27807281,441.99,449.4358381191737,284965695.19052815,3806765593.581536
