price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
2249.02810188,2250.244015472,2258.56388397,2169.520586897,2210.276427727405,230931724.31190586,2199753301.654993
2255.087714136,2195.322004678,2265.597536585,2071.116593978,2159.601202500815,203883349.66374728,2149319341.1757092
2194.754613707,2268.349633141,2273.960495601,2151.905488341,2213.347761209952,255988925.6794434,2202810012.518832
2265.315928923,2260.782843423,2328.933233268,2180.829803912,2244.4481637464664,253549849.66029933,2233762346.0388713
2257.713560749,2228.936624584,2291.560035532,2126.235605957,2201.446516331311,280668236.2377995,2190965429.467059
2233.422775583,2133.531834599,2291.468772858,2103.661204455,2193.645670548093,249376098.53430772,2183201723.5106115
2139.004932884,2182.236687214,2229.724298908,2087.994236415,2161.0829645772114,241558389.10100123,2150794048.582859
2182.236687214,2056.937692934,2200.733539754,2056.937692934,2140.7739689525565,212633726.66510972,2130581744.0863738
2053.112899839,1999.493706227,2095.561038849,1948.212765843,2027.7923771508792,230909757.62093985,2018138057.6432636
1998.277067141,2075.84,2107.885178533,1940.748171123,2041.1376264090504,246760255.22602364,2031419770.1697202
2075.84,2128.06,2170.33,2034.68,2097.010313643161,206695069.39303604,2087026447.5399039
2128.06,2120.66,2191.08,2106.47,2136.749362561301,263335436.35522497,2126576298.8461456
2120.39,2096.969819825,2129.68,2074.25,2101.5292431495527,232055445.48061624,2091523862.422917
2098.98,2142.51,2254.23,2098.8,2164.151562861072,196779948.53343606,2153848037.2702923
2137.68,2106.56,2161.3,2071.59,2112.522831023036,231324209.69674596,2102465109.824538
2103.03,1972.46,2115.18,1956.357101934,2061.9559279218156,183127153.47738957,2052138955.7489793
1968.42,2031.18,2031.18,1914.07,1966.7274104351607,226530202.15778133,1957363821.234078
2018.7,1823.33,2075.7,1792.289694997,1989.850961307089,233208835.88474756,1980377280.8803048
1823.33,1886.34,1928.05,1801.77,1874.949457687703,264730141.30233726,1866022823.319652
1883.12,1990.28,1994.62,1883.12,1945.5530481350038,220259904.59016287,1936290270.0728333
1986.17,2158.03,2204.76,1963.56,2056.35436984709,226981391.90852824,2046564066.6922474
2153.38,2062.66,2153.38,2026.8,2081.164558413658,288021185.8131636,2071256133.9510508
