price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
1.5766264099495771e-06,1.533377362147935e-06,1.699854246405299e-06,1.533377362147935e-06,1.603154990025263e-06,57926.446458303406,0.0
1.533377362147935e-06,1.720534118471149e-06,1.9750467459908903e-06,1.507850648477289e-06,1.6247744617655049e-06,83680.1396366356,0.0
1.720534118471149e-06,1.8071043985481577e-06,1.842018355188158e-06,1.6260170478724919e-06,1.7498921009485262e-06,96477.14956750377,0.0
1.8071043985481577e-06,1.8657524861004503e-06,2.056929430603306e-06,1.6852364694150176e-06,1.826019504619121e-06,108757.29502172297,0.0
1.8657524861004503e-06,2.08624827278682e-06,2.08624827278682e-06,1.7501909647037879e-06,1.8882902826953373e-06,97144.16481711101,0.0
2.08624827278682e-06,2.4230354741732763e-06,2.5718795227085417e-06,2.061040053223826e-06,2.253931029982035e-06,108069.63822945704,0.0
2.4230354741732763e-06,2.5031445075268816e-06,2.628174977504521e-06,2.295821925892476e-06,2.438757826344366e-06,215110.50254730624,0.0
2.5031445075268816e-06,2.4093115477047103e-06,2.5031445075268816e-06,2.2537974071068226e-06,2.3715566647130952e-06,152876.12535488032,0.0
2.4093115477047103e-06,2.2937559786980434e-06,2.531410063576288e-06,2.2594497909047137e-06,2.348262329526054e-06,53387.4386286301,0.0
2.2937559786980434e-06,2.5497812267370097e-06,2.5497812267370097e-06,2.1949716371639204e-06,2.368279608294274e-06,60902.99586029678,0.0
2.5497812267370097e-06,2.568004048110749e-06,2.612776185191557e-06,2.4262091368851124e-06,2.5328931136527975e-06,88566.88363475965,0.0
2.568004048110749e-06,2.136789108421934e-06,2.568004048110749e-06,2.136789108421934e-06,2.4036748251236537e-06,72400.48767666749,0.0
2.136789108421934e-06,2.1447818002940494e-06,2.3449327243792716e-06,2.0939068421540503e-06,2.24089145849951e-06,63233.27509262969,0.0
2.1301978086522764e-06,2.163786732361988e-06,2.168147219785198e-06,2.0936610855067766e-06,2.127664005197671e-06,40064.34339085274,0.0
2.163786732361988e-06,2.0180620355106917e-06,2.163786732361988e-06,1.975263042631644e-06,2.061294386773562e-06,39205.03691615297,0.0
2.0180620355106917e-06,1.8502426894787249e-06,2.0233226220468776e-06,1.82986864707442e-06,1.897752858062262e-06,62198.819105113624,0.0
1.8502426894787249e-06,1.7290692675808004e-06,1.9083332010234692e-06,1.7290692675808004e-06,1.8220799024807935e-06,21512.957245454156,0.0
1.7290692675808004e-06,2.1036402810666835e-06,2.1465037636207353e-06,1.6962372519352905e-06,1.982263435867953e-06,28259.27249519489,0.0
2.1036402810666835e-06,1.9915927796531953e-06,2.1036402810666835e-06,1.981112282412103e-06,2.0611149904961457e-06,24983.27816934813,0.0
