price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
2.077122621,2.175799582,2.175799582,2.077122621,2.141582582876595,9675201.224219486,1199286269.9683018
2.17532255,2.326163265,2.326163265,2.165342417,2.2282299923552134,9349726.791205421,1247808820.2294493
2.326163265,2.511678629,2.511678629,2.313419767,2.4214581706916656,11130506.478973307,1356016602.223373
2.511678629,2.436283045,2.548766569,2.404209328,2.4533149952829443,11208348.575391062,1373856424.3449142
2.431064826,2.471766246,2.550752599,2.378743483,2.470552573468618,9791129.795348981,1383509468.3185039
2.454336442,2.396949166,2.474983129,2.332177867,2.4200276369836757,10395000.117902402,1355215503.3311615
2.396949166,2.532153507,2.536252972,2.366130662,2.4453190244590153,8840076.548366372,1369378680.595559
2.537852051,2.564540638,2.591300032,2.480711918,2.5404638880120984,9144269.85500235,1422659805.2318769
2.558213082,2.589105746,2.636919817,2.367141807,2.480726461084678,8923151.027613627,1389206845.4954116
2.589105746,2.69,2.740296344,2.512650521,2.657048175311534,14099253.326415468,1487947007.4019923
2.7,2.75,2.754903198,2.57,2.634097054786294,10543245.517815035,1475094379.6553915
2.75,2.74,2.79,2.66,2.736949185248965,12266156.761355637,1532691573.845861
2.74,2.81,2.83,2.68,2.763391982090089,9507101.492644664,1547499540.3677602
2.8,2.69,2.84,2.69,2.7926841964663662,9751734.990578108,1563903180.740691
2.7,2.71,2.73,2.65,2.6925600766378674,8679192.434850805,1507833672.5353649
2.71,2.45,2.78,2.42,2.6114277102213155,10786217.056288604,1462399546.4496386
2.46,2.45,2.56,2.35,2.4776047080196886,12971581.736382326,1387458663.744676
2.44,2.35,2.55,2.31,2.4504296256023657,7537291.0533864815,1372240617.2920468
2.35,2.43,2.51,2.26,2.3599186646139008,9022304.742556745,1321554478.1428902
2.43,2.66,2.66,2.43,2.5025991598999986,8081720.042938811,1401455557.0725892
2.66,2.59,2.68,2.44,2.5777225753361006,8596319.884499991,1443524670.543165
2.59,2.514272053,2.59,2.38,2.4968966846926097,8754614.414463934,1398262170.8937252
2.514272053,2.66,2.68,2.48,2.555525085631575,8041444.376541032,1431094076.064457
2.66,2.75,2.85,2.63,2.7297534719915935,9754532.390911108,1528661974.3425791
2.75,2.76,2.84,2.63,2.7357903100732726,9078410.141250674,1532042603.734726
2.77,2.79,2.79,2.68,2.7537525902274678,8552357.990895608,1542101480.8186603
2.79,2.8,2.82,2.74,2.7921715938405103,8808363.62753834,1563616123.2645767
2.8,2.68,2.81,2.66,2.7533462854522814,8079970.645824561,1541873950.1400874
2.68,2.76,2.76,2.65,2.7027886008558597,7880175.265543308,1513561646.2099555
2.75,2.86,2.87,2.7,2.768477425954359,7796048.537246551,1550347388.9876907
2.87,2.88,2.9,2.73,2.8529203447195153,9914635.394143324,1597635424.4250498
2.88,2.7,2.88,2.63,2.747137610481636,10635877.368260654,1538397092.088229
2.7,2.81,2.82,2.69,2.760195801690081,9976795.247130988,1545709679.3085985
2.81,2.86,2.9,2.79,2.8473512048871,9581031.148554979,1594516706.0576377
2.86,2.88,2.95,2.82,2.8653850256621083,9224545.93640822,1604615645.8900118
2.88,2.95,2.95,2.85,2.909290749873366,9301587.142894108,1629202851.931284
2.95,3.22,3.24,2.91,3.0354947719112837,11775689.454450862,1699877105.6607668
3.22,3.41,3.49,3.22,3.3765651897126863,16535622.82653642,1890876543.3813248
3.43,3.74,3.74,3.3,3.411091060300001,14631097.126090188,1910211031.290001
3.75,3.8,3.82,3.71,3.768904120820396,16719486.68754495,2110586349.117371
3.8,3.7,3.83,3.59,3.717684496209922,12996480.043228105,2081903358.7720864
3.71,3.62,3.82,3.56,3.688288094351017,11193958.936877344,2065441373.4077423
3.61,3.55,3.61,3.16,3.4215897086958154,12425015.579173302,1916090274.5071454
3.55,3.42,3.610031504,3.28,3.4767552210836636,11500163.142299617,1946982962.0511613
3.41,3.55,3.56,3.15,3.3928025150971637,11688494.299020177,1899969445.775239
3.55,3.56,3.82,3.51,3.6072524123347227,11759079.16745018,2020061390.587222
3.55,3.49,3.71,3.41,3.5879879298125013,12772429.698503565,2009273280.1628654
3.48,3.42,3.48,3.1,3.305306448180767,14059727.11006774,1850971647.339602
3.43,3.38,3.45,3.22,3.3464136172490275,10219382.595790619,1873991662.4700034
3.36,3.3,3.43,3.21,3.316904700340909,7795139.857449954,1857466668.676861
3.3,3.53,3.58,3.3,3.483431583640777,11052882.618030032,1950721725.1565828
3.53,3.64,3.67,3.42,3.564027659896857,11069049.497729931,1995855528.7465456
3.65,3.67,3.73,3.57,3.65185771866952,10797955.688543841,2045040362.6253698
3.66,3.54,3.71,3.49,3.6213235539349578,12134167.472747196,2027941230.0381372
3.54,3.66,3.75,3.52,3.640544900092441,12508141.609236738,2038705184.0977616
3.66,3.8,3.8,3.61,3.7293559067272684,12109012.013833057,2088439348.7901876
3.8,3.67,3.82,3.63,3.7192853424308914,9962973.977011364,2082799832.6734433
3.67,3.93,3.94,3.67,3.828609694913462,11752173.439172685,2144021471.266244
3.93,3.62,3.936645649,3.62,3.7631849056420243,16292376.316173526,2107383588.5545673
3.61,3.77,3.84,3.607944784,3.729044981089063,14877011.592629738,2088265230.429371
3.79,3.65,3.81,3.64,3.7184242248294574,10730480.486226939,2082317606.8071635
3.65,3.63,3.70817832,3.55,3.6305500400769173,11307802.676435083,2033108062.3791294
3.63,3.91,3.93,3.6,3.742119793118576,10970149.018436132,2095587125.3097227
3.92,3.85,3.94,3.8,3.8692934768859395,11034904.797917949,2166804389.6183496
3.89,3.81,4.01,3.74,3.9206405517532503,9018515.749055585,2195558752.108866
3.81,3.91,3.91,3.739954063,3.832051770776866,9690334.087396916,2145949033.7876093
3.91,3.65,4.07,3.65,3.950731321938011,8912771.867740743,2212409583.743332
3.622761328,3.53581168,3.79,3.43,3.607433616934545,14036453.313359208,2020162865.1651132
3.53581168,3.9,3.93,3.53,3.7564000207346884,12730634.065282991,2103584052.9318292
3.9,3.38,3.95,3.38,3.6667062791929173,12918838.140089812,2053355556.6818018
3.39,3.38,3.6,3.18,3.423836062952939,12809899.680982381,1917348232.9158418
3.38,3.11,3.42,2.9,3.217855725018384,13593428.35402934,1801999241.4067075
3.11,3.12,3.31,2.97,3.1579747618846117,13858211.078437759,1768465901.3931057
3.13,2.15,3.13,1.69,2.4307654016877174,24843094.114022933,1361228651.6835425
2.13,2.45,2.56,1.81,2.307499987705879,25158116.271697182,1292200018.4977915
2.47,2.01,2.58,1.57,2.196498439959376,15955576.498233216,1230039150.5387328
2.01,1.87,2.05,1.617705532577164,1.857844692963138,21563860.27697842,1040393048.4956487
1.87,1.47,1.96,1.06,1.5560766211746044,16050582.539285714,871402924.9746219
1.47,2.087512403576924,2.14,1.37,1.6835768878184192,24874388.310954064,942803075.6976604
2.09,1.95,2.1544438741072134,1.62,1.9105188050085853,17380979.2443609,1069890551.8205155
1.95,2.49,2.75,1.94,2.216500710466108,20923826.931818184,1241240422.2425296
2.49,2.18,2.57,2.18,2.3618207864284595,22364167.372623574,1322619666.379966
2.17,1.84,2.22,1.76,1.9740042442856027,19781547.46641791,1105442398.513982
1.83,1.82,1.97,1.74,1.8484564341347018,14988087.851590106,1035135623.4484507
1.81,1.91,2.14,1.58,1.9378291050322034,13753437.97338403,1085184320.1341546
1.91,2.02,2.07,1.75,1.9332918431061976,16038942.658634538,1082643453.4056826
2.02,1.98,2.09,1.81,1.9500332851778095,14376217.290836653,1092018661.1499386
1.97,2.15,2.2,1.92,2.065054797114056,15589348.34509804,1156430709.0994744
2.15,2.26,2.28,2.06,2.168858328075719,16031988.921739131,1214560687.579844
2.26,2.14,2.26,1.968809659452135,2.1244629943065068,14929689.19262295,1189699300.180737
2.14,2.09,2.28,2.04,2.1416190311086143,12927278.716666667,1199306680.9786327
2.09,2.23,2.35,2.09,2.201288888888891,11567996.684444444,1232721801.991955
2.24,2.24,2.52,2.08,2.331875791849262,16759018.593023255,1305850469.0862222
2.24,1.97,2.27,1.8,2.0263931058404174,20749128.91254753,1134780161.560957
1.98,2.2,2.2,1.88,2.0454548815556937,18327679.848249026,1145454756.171191
2.19,2.06,2.191015697615142,2.03,2.107565104461851,12462641.235772358,1180236481.681852
2.06,1.93,2.12,1.91,2.0315449325324373,11442879.494023904,1137665184.565161
1.91,1.87,1.98,1.81,1.9034100145428996,12264977.025531914,1065909629.0815341
1.86,1.92,2.01,1.76,1.8651875706150407,11502953.067264574,1044505060.0614876
1.93,1.93,1.98,1.8580431327533455,1.9186463826094051,13074441.368421054,1074441995.3663785
1.94,1.86,1.98,1.85,1.928707186629411,10356752.970212765,1080076045.7282476
1.86,1.74,1.88,1.68,1.7988781095771655,14170176.532786885,1007371761.150872
1.75,1.87,1.95,1.74,1.8643635515169703,12726161.575510204,1044043609.3575017
1.87,1.77,1.88,1.66,1.7752209229865052,9239252.453125,994123736.3998735
1.78,1.7,1.79,1.66,1.7157636087248858,7737422.182008368,960827639.7593381
1.7,1.6,1.74,1.52,1.6550561495782157,9122878.627705628,926831461.9694191
1.61,1.31,1.64,1.31,1.4518556872722155,14214583.540650407,813039200.8428532
1.31,1.35,1.48,1.09,1.3263784236264107,16900159.94716981,742771931.8209529
1.36,1.49,1.56,1.33,1.480835964645316,13526471.380392157,829268156.4905741
1.49,1.56,1.59,1.41,1.4968518268239634,7462104.7547619045,838237039.4867903
1.56,1.39,1.59,1.36,1.4774166436175633,5489483.420168067,827353336.6774184
1.39,1.19,1.433591827045754,1.06,1.3113807563851128,10801402.084710743,734373238.000852
1.2,1.25,1.27,1.1875392673204297,1.2168851651715933,15249587.992031872,681455705.8818289
1.25,1.36,1.41,1.24,1.3251422495120968,7267525.137019231,742079674.3033395
1.37,1.47,1.51,1.34,1.4361526506823143,7366839.99382716,804245500.1797752
1.46,1.473549501343672,1.48,1.4,1.4412737664628739,6874899.659090909,807113325.0732205
