price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
1.040791158,1.048656489,1.054634965,1.009082489,1.0352604929260703,498910270.1833413,836421107.5491552
1.046561457,1.125731792,1.134227489,1.013543832,1.062057656817829,406906885.74827075,858071420.3493382
1.128230244,1.213215664,1.236547095,1.098761717,1.1665013020112354,653284588.8763918,942454887.1058336
1.213215664,1.134684279,1.213215664,1.104517196,1.1474370497604565,621604851.1001121,927052248.7446176
1.141740151,1.128823331,1.154370459,1.06802999,1.1174374778544778,545764420.016455,902814604.8559012
1.129079293,1.068028958,1.13419287,1.03664981,1.0952681060408922,463126414.44558537,884903237.9557917
1.070187151,1.137262084,1.147747517,1.017780698,1.0957061928314176,478303610.0543915,885257182.7272161
1.134761576,1.079115569,1.161388011,1.06486701,1.103076012207548,444184176.9005223,891211502.9462718
1.074091444,1.14241332,1.25101656,1.000006244,1.0925163157408764,600319939.2889386,882679975.7853419
1.139099737,1.18,1.244003645,1.085844256,1.1811408326438868,1220438345.798864,954282646.8913457
1.18,1.25,1.26,1.14,1.1996874613860318,705660983.706623,969267080.1424985
1.26,1.19,1.26,1.18,1.2253463090039505,608435910.4762821,989997709.6697206
1.19,1.2,1.23,1.16,1.2056375077572,460976152.5192379,974074318.9097012
1.2,1.2,1.29,1.19,1.2437100503398462,410540879.92848706,1004834382.151542
1.2,1.18,1.22,1.14,1.1830615473536135,502820162.3973752,955834455.6735543
1.18,1.21,1.33,1.16,1.2514579766109093,600864419.2592748,1011094187.4055184
1.21,1.35,1.37,1.15,1.2577886778064509,903908763.9469861,1016208969.7638911
1.35,1.23,1.46,1.217264931,1.382734395258865,994804448.6150638,1117156737.1028056
1.22,1.17,1.26,1.14,1.199430716380782,801154149.2235792,969059647.3822322
1.17,1.29,1.3,1.17,1.2591029743248154,568499447.4174473,1017270833.2823495
1.29,1.37,1.41,1.29,1.367467433753623,622443056.3494503,1104822055.2151253
1.38,1.52,1.698563182,1.38,1.5500973784134295,1241967645.7845147,1252374812.8329163
