price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
1.2723443034831227e-08,1.3845097777426872e-08,1.4292303374385223e-08,1.2007877058772835e-08,1.2950692852539848e-08,2348878.2577559403,0.0
1.3845097777426872e-08,1.6721521870360915e-08,1.7463254491743003e-08,1.2731769365104612e-08,1.504258102093152e-08,646429.07107057,0.0
1.6721521870360915e-08,2.189347753661077e-08,2.189347753661077e-08,1.6721521870360915e-08,1.931227895941222e-08,1202060.3848528836,0.0
2.189347753661077e-08,2.5748588531659796e-08,3.0029564006272985e-08,2.189347753661077e-08,2.693152107033296e-08,2950893.527914538,0.0
2.5748588531659796e-08,1.945404872760224e-08,2.5748588531659796e-08,1.6201130091611923e-08,1.975299148615624e-08,2614760.5123135406,0.0
1.945404872760224e-08,1.8687659553868788e-08,2.1195085963822756e-08,1.7607140585532176e-08,1.923453749124394e-08,780840.776252214,0.0
1.8687659553868788e-08,1.7985608396190606e-08,1.8687659553868788e-08,1.580787552007802e-08,1.689620132859437e-08,616025.4283541151,0.0
1.7985608396190606e-08,2.1549198245361728e-08,2.2054152648923408e-08,1.7985608396190606e-08,1.966450229647183e-08,587427.048377794,0.0
2.1549198245361728e-08,2.204324605853401e-08,2.6437578432139798e-08,2.0066232670312738e-08,2.2881138555111548e-08,886613.5989137586,0.0
2.204324605853401e-08,1.9575623653486857e-08,2.322335402068288e-08,1.9575623653486857e-08,2.134796776183696e-08,418378.2003371283,0.0
1.9575623653486857e-08,1.706884146720547e-08,1.970736908828124e-08,1.6582708074673604e-08,1.849838259965919e-08,273860.82786438917,0.0
1.706884146720547e-08,1.8138189954864375e-08,1.8138189954864375e-08,1.4666662523163671e-08,1.6570056886012927e-08,500538.78665001533,0.0
1.8138189954864375e-08,2.1459595887199698e-08,2.5144875299126993e-08,1.79936259477957e-08,2.1000355382756276e-08,730797.1674166322,0.0
2.1459595887199698e-08,7.82891410898659e-08,7.82891410898659e-08,2.108648331206287e-08,5.34633851332007e-08,19489403.454389755,0.0
7.82891410898659e-08,8.743940511399512e-08,1.0584908720760033e-07,7.088959597283785e-08,8.481726613085663e-08,27623680.9031313,0.0
8.743940511399512e-08,6.137679040623324e-08,8.743940511399512e-08,5.8040421150446505e-08,7.546606930304336e-08,6956755.795593762,0.0
6.137679040623324e-08,6.889198150130077e-08,7.445966107206865e-08,5.846191903210434e-08,6.620762266587806e-08,4124411.6388751725,0.0
6.889198150130077e-08,6.635350320662842e-08,7.299449652198604e-08,6.253114554336084e-08,6.695131401200013e-08,2318923.631723591,0.0
6.635350320662842e-08,6.244374071081285e-08,7.210865982431367e-08,6.244374071081285e-08,6.800702325208714e-08,2110047.904246162,0.0
6.244374071081285e-08,6.146041977812243e-08,6.758198804319855e-08,6.123721782794327e-08,6.434966745862002e-08,1577436.1103200896,0.0
6.146041977812243e-08,5.5958552197241185e-08,6.73194617799953e-08,5.5958552197241185e-08,6.183217021917213e-08,1476511.8623809463,0.0
5.5958552197241185e-08,4.927270828390385e-08,5.7842843220595666e-08,4.325614616739637e-08,5.2456350959158764e-08,1486961.18188351,0.0
4.927270828390385e-08,4.430849207644458e-08,4.966975714038735e-08,4.311967152802659e-08,4.642539273536614e-08,1230822.4562118393,0.0
4.430849207644458e-08,4.5855304210225663e-08,5.0469272073880617e-08,4.421869669153112e-08,4.66149001449896e-08,702854.9385582235,0.0
4.5855304210225663e-08,4.161222998475113e-08,4.5855304210225663e-08,3.992664550713972e-08,4.286039813859463e-08,557469.6299615164,0.0
4.161222998475113e-08,4.171989842621065e-08,4.489797313793272e-08,3.966510229180374e-08,4.2113605432304896e-08,635260.2415111772,0.0
4.171989842621065e-08,3.917972919543488e-08,4.262130887673151e-08,3.7690107815353193e-08,4.0102813407916014e-08,529465.0873413278,0.0
3.917972919543488e-08,6.494389470802245e-08,6.494389470802245e-08,3.8831961494293115e-08,4.390597154178501e-08,591077.8744348242,0.0
6.494389470802245e-08,6.508267380330248e-08,6.614355248649818e-08,5.582764380128517e-08,6.131861703230029e-08,2275743.1403912595,0.0
6.508267380330248e-08,5.640376764261884e-08,6.6888175550967e-08,5.597611909845841e-08,6.267223629804984e-08,1397458.665973064,0.0
5.640376764261884e-08,6.139083611742657e-08,6.139083611742657e-08,5.560580748294308e-08,5.773046032528386e-08,805259.385068858,0.0
6.139083611742657e-08,5.095297814095675e-08,6.163854124039289e-08,4.940843482003553e-08,5.420908305033219e-08,1238831.1675232518,0.0
5.095297814095675e-08,4.9980254807679634e-08,5.290498736998479e-08,4.2187106506040286e-08,4.797337200053137e-08,1068329.594775089,0.0
4.9980254807679634e-08,4.9953473953632566e-08,4.9980254807679634e-08,4.2897652500722216e-08,4.679763732998937e-08,978117.6258708311,0.0
4.9953473953632566e-08,4.440640068600464e-08,4.9953473953632566e-08,4.440640068600464e-08,4.716067664875004e-08,1014559.2422400673,0.0
4.440640068600464e-08,4.73685939083796e-08,4.73685939083796e-08,4.0663564667525754e-08,4.453348873430772e-08,1054764.7481927415,0.0
4.73685939083796e-08,6.349734694581553e-08,6.349734694581553e-08,4.73685939083796e-08,5.663759881096063e-08,1340795.0859878988,0.0
6.349734694581553e-08,5.8151380330969665e-08,6.349734694581553e-08,5.520778046683059e-08,6.047372604162754e-08,1092432.0178513136,0.0
5.8151380330969665e-08,6.038976492189801e-08,6.048552964753935e-08,5.702074663108017e-08,5.848674572012676e-08,624276.346414272,0.0
6.038976492189801e-08,6.761979775702254e-08,6.761979775702254e-08,5.990698434517095e-08,6.145377900065202e-08,455392.7136961463,0.0
6.761979775702254e-08,8.142317277896052e-08,8.142317277896052e-08,6.454505354861392e-08,7.003443904222133e-08,782906.3536976419,0.0
8.142317277896052e-08,1.0785472476159305e-07,1.159728703371125e-07,8.142317277896052e-08,9.765206855121523e-08,3807929.874236621,0.0
1.0785472476159305e-07,1.723871514649907e-07,2.006815849149759e-07,1.0331464690100927e-07,1.4217242499320528e-07,11331815.711202463,0.0
1.723871514649907e-07,1.6660351013268244e-07,2.0003070824347583e-07,1.4944789260890833e-07,1.8511351847601875e-07,20238070.740626946,0.0
1.6660351013268244e-07,1.750200488224384e-07,1.8311161012475945e-07,1.3596056218130103e-07,1.6256522313987597e-07,8921235.399873085,0.0
1.750200488224384e-07,2.7378763033497924e-07,2.7378763033497924e-07,1.6680009248659203e-07,2.070529415691357e-07,8061034.568681244,0.0
2.7378763033497924e-07,6.728024305512154e-07,9.497578173670766e-07,2.7378763033497924e-07,5.885609538492618e-07,110075831.99655266,0.0
6.728024305512154e-07,1.9442922496804223e-06,2.6714821343540474e-06,6.728024305512154e-07,1.6794752364143619e-06,494628127.5360261,0.0
1.9442922496804223e-06,1.8905579777212357e-06,2.0120673611795204e-06,1.488523073422767e-06,1.7421693017777195e-06,314630189.10996413,0.0
1.8905579777212357e-06,3.6193074567005934e-06,3.6193074567005934e-06,1.834100752862034e-06,2.568143017160544e-06,280055334.2773435,0.0
3.6193074567005934e-06,2.6858060552482597e-06,4.027722203148573e-06,1.969004491116256e-06,3.214592428340009e-06,534059890.3351009,0.0
2.6858060552482597e-06,1.261932544588917e-06,2.6858060552482597e-06,1.261932544588917e-06,1.954093278937201e-06,361079829.2673615,0.0
1.261932544588917e-06,1.6109081970516746e-06,1.8714486014496894e-06,1.261932544588917e-06,1.4857299025698972e-06,271799453.2511318,0.0
1.6109081970516746e-06,1.221760486074052e-06,1.6109081970516746e-06,1.1299496095912932e-06,1.300331268754667e-06,165857653.6077933,0.0
1.221760486074052e-06,1.359363293288573e-06,1.5462115282736565e-06,1.221760486074052e-06,1.3650585671068966e-06,106421351.32214937,0.0
1.359363293288573e-06,1.3038105338592185e-06,1.4348745990729794e-06,1.1757068641515276e-06,1.357670034103536e-06,67448305.14569634,0.0
1.3038105338592185e-06,1.1856472767361566e-06,1.3549793399405628e-06,1.1643085899839992e-06,1.2759846292582525e-06,114012608.84618811,0.0
1.1856472767361566e-06,1.0014475484220259e-06,1.2352129310360095e-06,7.893752893720359e-07,1.1133741196509338e-06,78242114.36255556,0.0
9.331487205738775e-07,1.4848369088149228e-06,1.5304350835633302e-06,8.85688113364205e-07,1.1500676978014501e-06,132758111.74197099,0.0
1.4848369088149228e-06,1.4043900566008187e-06,1.513531453756941e-06,1.325970444890432e-06,1.4068940231982922e-06,130222540.20308863,0.0
1.4043900566008187e-06,2.0367565573515436e-06,2.154787437292903e-06,1.3834375453833795e-06,1.7669120373516499e-06,96838356.85314976,0.0
2.0367565573515436e-06,1.9057080144761414e-06,2.048983837447829e-06,1.782551838942985e-06,1.930763472114707e-06,123277003.36080474,0.0
1.9057080144761414e-06,1.6592659891222577e-06,1.9057080144761414e-06,1.6321459594153515e-06,1.7364227542244512e-06,58563638.32826644,0.0
1.6592659891222577e-06,1.5896949479798308e-06,1.7845236254475807e-06,1.5817109857598171e-06,1.6942530085401663e-06,44241313.55224204,0.0
1.5896949479798308e-06,1.6752439813297826e-06,1.900709005809318e-06,1.5402171979297706e-06,1.6664384340564566e-06,51480460.547016054,0.0
1.6752439813297826e-06,1.7170928955118986e-06,1.7949474059148194e-06,1.6603193848116058e-06,1.7265418787734785e-06,58473810.04200724,0.0
1.7170928955118986e-06,1.558612691498997e-06,1.7170928955118986e-06,1.5049176347182155e-06,1.6296187386039866e-06,32901302.688600853,0.0
1.558612691498997e-06,2.806815541505547e-06,2.806815541505547e-06,1.558612691498997e-06,2.2000502671968073e-06,212133173.06702426,0.0
2.806815541505547e-06,1.565939580996234e-05,1.7390825475971504e-05,2.806815541505547e-06,9.060456357838407e-06,3830143497.386092,0.0
1.565939580996234e-05,1.548134326358007e-05,1.9390830411953938e-05,1.2461218480215005e-05,1.511138536091144e-05,7625752346.156486,0.0
1.5690590573900127e-05,3.4857e-05,3.7803e-05,1.3844896952509297e-05,2.3975932530895887e-05,8926177071.300718,11610811647.891891
3.4796e-05,3.0752e-05,3.7151e-05,2.8468e-05,3.264196180555556e-05,15077131155.929403,12886915952.98611
3.042e-05,1.8594e-05,3.1113e-05,1.8446e-05,2.636933916083914e-05,7325644094.112618,10410509623.342657
1.8163e-05,2.0669e-05,2.3006e-05,1.5618e-05,1.9346006944444457e-05,7341705081.3870735,7637726157.638889
2.0871e-05,1.8616e-05,2.1678e-05,1.8587e-05,2.0069111888111874e-05,4905127356.705957,7923205096.979021
1.8642e-05,1.5803e-05,1.8751e-05,1.5255e-05,1.7266233449477357e-05,2643721473.7594275,6816639900.919861
1.5704e-05,1.7883e-05,1.9021e-05,1.2643e-05,1.5614398601398595e-05,2290058488.4985633,6164502110.237762
1.7691e-05,1.6505e-05,1.7691e-05,1.4708e-05,1.615507342657343e-05,4026376507.6219826,6377958368.517483
1.6501e-05,1.5824e-05,1.7759e-05,1.5486e-05,1.6456101045296157e-05,2441115934.1811976,6496802868.278746
1.5694e-05,9.299e-06,1.5811e-05,6.878e-06,1.2069227272727282e-05,2573605963.033579,4764882650.363636
9.281e-06,9.586707854640838e-06,1.191563278477044e-05,8.242e-06,1.0122307058445113e-05,3184160805.3919234,3996246337.445894
9.687489421230743e-06,8.229578282503667e-06,1.0374105137896955e-05,6.645546111903966e-06,8.944243937686956e-06,1812236528.836237,3531151729.6230583
8.207652615681524e-06,8.497382597483273e-06,9.418821799282538e-06,6.827623096407469e-06,7.641039675872317e-06,1334501295.9442508,3016651899.8756924
8.389487106468243e-06,8.163344360830713e-06,9.423764310720702e-06,7.044399255888796e-06,8.142916674828262e-06,1501531742.6666667,3214790931.555498
8.140883648713112e-06,1.0598278718160894e-05,1.1746106799735152e-05,7.759974699464e-06,8.970209953668692e-06,1502795222.8251748,3541403008.868582
1.0616777838078705e-05,9.442432394953236e-06,1.100952958020002e-05,8.915963027480691e-06,9.70142984904162e-06,2082182164.0,3830085698.682234
9.437244343921848e-06,9.5372492439132e-06,1.0414345013746695e-05,9.22712266105684e-06,9.659878927399423e-06,1190064573.1111112,3813681561.021588
9.54014775606176e-06,8.78075660741011e-06,9.54014775606176e-06,8.547039969660148e-06,8.997037835957493e-06,863832213.3333334,3551994549.484675
8.759907862444749e-06,7.87602421538294e-06,8.813856251166458e-06,7.567955892640209e-06,8.09253782646211e-06,675837926.5783972,3194901563.7359357
7.863869328068945e-06,7.90411517988125e-06,8.129864469219224e-06,7.329298325776983e-06,7.791861318489491e-06,562359259.0,3076195681.0943756
7.909410454544764e-06,7.871957649703545e-06,8.07632212557961e-06,7.58636191013581e-06,7.849394489740208e-06,497107969.3426573,3098909546.9714713
7.868455415157618e-06,9.25461168321371e-06,9.787798058918867e-06,7.728832402611794e-06,8.199784271247409e-06,617498907.4285715,3237242031.1513886
9.28439271528375e-06,8.770910387809385e-06,9.361993516517918e-06,8.374531474990209e-06,8.780128098891824e-06,1086052932.682927,3466359452.930099
8.771263010528268e-06,9.484516074219775e-06,1.0134991548864825e-05,8.593514477617911e-06,9.193321811768705e-06,1082838909.7777777,3629486677.999036
9.455264095666075e-06,9.7779860148393e-06,1.0335279320256793e-05,9.34087188951072e-06,9.745642816293246e-06,1144998361.1111112,3847540801.301311
9.79752174626046e-06,8.855480500165068e-06,9.79752174626046e-06,8.42125649242807e-06,8.888051932131176e-06,914366100.4444444,3508967350.59766
8.852277457794425e-06,8.412804451994358e-06,9.102736082529353e-06,8.19071776537106e-06,8.713517354175895e-06,771610804.0,3440061797.3592257
8.437455368210452e-06,8.536940165770486e-06,8.612497002592122e-06,8.349184716592339e-06,8.469869932861136e-06,709220670.8148148,3343870770.013846
8.53295068118616e-06,7.688930239482368e-06,8.696889117351378e-06,7.649036499540334e-06,8.38288569821421e-06,472470699.4444444,3309529742.112174
7.715353224421897e-06,7.220916313332428e-06,7.861826241004398e-06,6.366121918629298e-06,7.276186584311722e-06,602294749.8741258,2872609358.739931
7.233134129215918e-06,7.3866347783349874e-06,7.503068830968281e-06,6.896447704431011e-06,7.207982330494654e-06,668744932.6666666,2845682592.149968
7.391683942286338e-06,6.863162983142077e-06,7.402590812752458e-06,6.825069185095451e-06,7.083476290876672e-06,484303632.9477352,2796528105.732947
6.833159585768422e-06,6.1936678539263794e-06,6.851793387650584e-06,6.078136976743344e-06,6.66972024700168e-06,436714606.2222222,2633178874.6352744
6.209523553643903e-06,6.247383296990272e-06,6.472892744393406e-06,5.630687384552446e-06,5.999780806049197e-06,559447866.0,2368689463.1049995
6.243713571076172e-06,6.809316857144254e-06,7.047653992382927e-06,6.059741662293862e-06,6.341819906916853e-06,473283771.8888889,2503725131.971146
6.833486645308804e-06,7.057874627461584e-06,7.1786439739351815e-06,6.671528056786127e-06,6.89563547889597e-06,514229932.5555556,2722369304.526213
