price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
15.069761085,18.762069899,18.762069899,15.028524385,16.545230588796375,1380203726.4178796,419231308.7289862
18.764405977,17.796410399,20.490923171,16.880560626,18.883796883542537,2384621339.0018015,478487068.44984615
17.87037232,17.562986824,19.107001776,17.271990649,18.1805017328603,2191191323.587765,460666624.9775787
17.527800318,17.330876473,18.811267507,17.078120855,17.69761843842293,1420679760.1603937,448431087.1043612
17.314907421,16.645790568,17.314907421,15.663278724,16.34361124643957,1283785798.8167486,414122577.2242974
16.682654549,16.618581267,16.999376338,15.79137185,16.505227326876494,948574935.3944799,418217686.116833
16.585334034,17.862206054,17.946779661,16.388676719,17.130845563945527,946819263.818119,434069913.1911876
17.900240673,17.244631497,18.097617087,16.789550806,17.251502062397726,1025196980.4591084,437127167.7565629
17.279425812,19.679440359,20.149637259,17.165833755,18.186974184652676,1018958836.8485825,460830627.1908478
19.679467979,17.958849454,19.763221375,17.731330246,18.605552606159687,1442885947.9996078,471436776.10562485
17.963064471,18.627698221,19.119899128,17.168005151,17.95112985411896,970792320.2724332,454854685.85746366
18.627698221,19.4101132,19.566644409,18.174288316,18.915928870567274,1359491740.3732927,479301244.77093995
19.358825877,22.982449536,23.37815908,19.061538919,21.902754504083344,2051296813.109704,554982923.0989611
22.931481987,20.978093228,22.979712835,20.464392107,21.485462949892973,1658330182.6966236,544409381.4704009
20.875040846,19.847499052,21.825141048,19.655589223,20.467200513571424,1292060434.4711719,518608139.7459291
19.780219883,20.14,20.374797685,18.815034953,19.735453734156486,1075094621.0341537,500066774.7074708
20.19,19.95,20.29,19.14,19.60487090122314,869103362.6856953,496758001.7257715
19.95,19.84,20.25,19.61,19.94884991000003,783159700.4564145,505473913.4956849
19.76,20.28,20.56,19.16,19.881312244540077,744533311.5739214,503762610.42696655
20.3,19.55,20.91,19.55,20.45329077212948,729925039.8877954,518255687.77631176
19.51,18.87,19.69,18.49,19.035580596333325,755840981.4176518,482333039.90461177
18.87,17.42,19.11,17.38,18.550568895263403,640786310.8325412,470043571.4020622
17.39,16.56,17.75,16.45,17.1982146885946,797177538.0200651,435776945.68873954
16.49,15.04,17.41,14.78,16.514001438651828,814049282.8886001,418440008.9392778
15.01,14.85,15.26,14.18,14.76495195978598,1027021557.9959701,374121720.46808517
14.85,16.85,16.89,14.85,16.060608466151272,900736395.8411099,406951711.55896574
16.85,16.25,16.92,15.89,16.288301912675106,612248959.6939579,412721121.7260163
16.21,15.2,16.38,14.93,15.764681246477911,511461882.28658736,399453359.9991988
15.2,15.89,16.02,15.06,15.616362208979082,630343924.5096196,395695178.2158539
15.85,15.43,15.94,15.33,15.598784405907885,591563081.9692003,395249783.0703132
15.44,14.65,15.64,14.24,14.868997321818542,681953668.5919164,376758073.769902
14.690253172,14.88,15.21,14.68,14.945398151268781,823703337.2322482,378693956.11052585
14.88,16.4,16.49,14.68,15.747809537231058,810521913.1037385,399025856.21131986
16.44,15.06,16.53,14.89,15.90561286897984,870454962.542383,403024355.77503306
15.02,15.46,15.56,14.98,15.303080908843757,790056464.8398855,387757100.30565655
15.46,15.29,15.78,15.0623409,15.358717103521743,662818290.3719596,389166837.96886855
15.29,15.49,15.97,15.21,15.618375875020162,810323961.3725424,395746201.49082226
15.49,14.29,15.6,13.95,14.712588260107802,844331754.2421453,372794902.91615355
14.19,14.43,14.78,14.15,14.481605923307368,692759820.063523,366942157.20611787
14.43,14.54,15.366003387,14.4,14.8664907901264,508002144.59387195,376694562.0191268
14.53,14.519198923,15.14,14.2,14.768871646079853,481346903.7131745,374221039.435323
14.500940306,14.162387431,14.536800462,14.037903043,14.299798322209066,418457224.1852981,362335425.48749584
14.180719636,16.1,16.35,13.977942817,15.07974158538196,826685317.8191397,382098017.0814587
16.08,15.9,16.35,15.33234681,15.782947874411136,1362321354.4902952,399916208.9328192
15.87,17.465370606,17.63602163,15.720674831,16.674662755916664,1180381595.6069176,422510925.56613153
17.542827594,17.62,18.19,17.223100298,17.760971808069446,1262507083.5792742,450036366.39779544
17.61,16.335362191,17.61,15.840458206,16.677209952701393,975371213.9773717,422575467.70931417
16.301173934,15.93,16.853916866,15.51,16.324431166579863,742612977.3082113,413636582.789953
15.89,14.022372222,16.01,11.592508273,13.809999648079861,1614194137.2999074,349924662.27287173
14.056279213,12.237751447,14.269533634,11.936829489,13.203216563128485,1425126715.3682983,334549689.68161434
12.205019881,12.67,12.77,11.149282435,12.07886865286805,968727373.160784,306060401.2818284
12.71,12.53,13.45,11.883199651,12.681543839053955,743261145.9444563,321331285.88432497
12.5,12.420950335,14.274366338,12.19830614,13.130611125466901,932053979.0962809,332709976.8720319
12.353643449,11.781318424,12.573273959,10.25,11.308722451499992,1179649673.7492611,286546052.5286103
11.80947739,10.725703711,11.80947739,10.606292792,11.111993193399305,600099779.1719091,281561228.4189551
10.746999697,10.926130973,11.65,10.441213546,11.009930673925087,398622982.0007939,278975117.3713205
10.972710121,12.084498797,12.454293532,10.917987527,11.869243043799992,467845552.1651269,300748802.9960834
12.153242311,14.16472128,14.391235416,11.970046942,13.022765323041666,605529670.6957564,329977326.1151257
14.26232906,14.253097516,14.501413788,13.013150437,13.90274399133681,884502914.5619506,352274664.72174364
14.286818394,14.092346084,14.847076529,13.618288799,14.264065656951386,752933520.0108646,361430013.384597
14.06,14.339534948,14.67,13.84,14.290314420738666,577212298.8695737,362095117.65957254
14.362509284,14.797022307,15.140273366,14.301918007,14.722255369630654,502057410.89591175,373039852.96113104
14.79075076,13.9,14.829347906,13.777870884,14.263565636170732,526952795.477844,361417343.6085466
13.9,14.43560217,14.850825927,13.9,14.408832789537602,585644025.2979853,365098195.22886574
14.402573281,12.701423451,14.402573281,12.701423451,13.61730828232293,737984896.424024,345042152.2943309
12.700465964,14.38,14.46,12.700465964,13.602693922281244,689429955.7944771,344671846.3470294
14.38,16.52,16.932613292,14.08,15.477594957961811,1087449395.9838076,392179024.36472017
16.5,15.83,17.72,15.425631783,16.52767705965624,1867675968.395073,418786528.64842296
15.83,16.322118216,16.74309178,15.531421731,16.022121447257845,895690271.0401027,405976508.2692214
16.298900701,15.547316225,16.483055379,15.33890195,15.91587692438194,748399557.790011,403284431.53257483
15.553364211,13.8429438,16.677735043,13.242834782,15.413109926277777,798329694.3525198,390545070.4538796
13.855056991,15.232322235,15.27224492,13.45437732,14.40045024304515,1015108087.609138,364885794.08294904
15.245232147,15.559580037,18.344171443,15.245232147,17.18009412240971,1616811774.2183726,435317797.74058455
14.855241916,14.78746742,16.78,14.016134437,15.431958212732647,1899841489.3573823,391022657.7413677
14.752335285,18.62,18.983550921,14.752335285,16.445201242407663,1145017641.0470693,416696715.23554546
18.570833874,16.24,18.93347201,16.21,17.575902600668982,1510018240.248322,445346990.4711486
16.2,16.54,17.641926737,15.095775934,16.5871137700979,1082490568.0661116,420292565.6765118
16.56,16.201385705,18.213450565,14.62,16.611452940766547,1225490579.5927026,420909283.7281604
16.194110032,21.382070634,22.443957387,16.194110032,19.474167685303136,1948436102.3529823,493446178.4198858
21.419053152,13.440880683,21.887968871,12.410577814,17.205025223499987,3608684289.8574347,435949514.4206292
13.306524614,15.020810562761378,16.96,11.660607457,14.986736936924569,5906568231.843053,379741418.88952637
15.14,12.588158527723063,16.341438167496122,10.46,13.96802008897202,2029710589.3240418,353928663.05639815
12.732710869005016,11.13,12.732710869005016,10.071677480696296,11.280125071273657,1265257759.2195122,285821437.8383425
11.08,9.069427186760151,11.45,6.443074698600616,9.191144474272798,1098435082.4444444,232889805.07021677
9.062051453945738,11.934986984499336,12.22,8.992619887215698,10.477456044425356,1783646682.4055943,265483009.50421596
11.966246164676557,12.066640347866452,12.58429944890882,9.704643538554746,11.021514527880997,1320614332.8888888,279268634.84319794
12.234559210211897,13.352470735701074,13.57611588444188,11.646414375702088,12.70199295459071,1237921658.6666667,321849435.7779037
13.425966081742455,12.129796637764338,13.425966081742455,11.68,12.329889036729103,852330227.5555556,312420881.0272715
12.104856205469432,10.63,12.348326150172111,10.1,11.288176830785671,555909996.1533101,286025457.33868587
10.62,10.04,11.288342319238346,9.67,10.491920021390108,551048685.7777778,265849504.97007337
10.05,10.839114126299116,11.04,9.67,10.528525439334786,475158913.67832166,266777031.316059
10.83,12.480269656785582,12.5,10.1039185536138,11.3636603209458,576052868.5714285,287938095.6786251
12.491595816454064,12.02,12.621674994318033,11.39610980744646,11.845759649021385,569866390.4111499,300153769.02096826
12.05,12.6,12.92642745602676,11.71,12.304434068500173,449297140.5555556,311775890.3402575
12.56,13.15,13.489418053986352,12.31,12.964132720836254,451824400.5555556,328491663.9827767
13.19,11.9,13.19,11.41,12.025996693390617,434908314.3333333,304720705.1894816
11.86,11.53,12.55,11.12,11.787818070290898,429674449.1111111,298685616.38624793
11.56,11.52,11.87,11.35,11.611007766219629,338994290.1925926,294205508.6733483
11.53,10.255881759822918,11.79,10.255881759822918,11.354312618688606,286067597.2777778,287701238.9343283
10.25,10.0995676451741,10.487995230354397,9.19,10.043049962411182,454518792.951049,254475811.42950588
10.10483656631406,10.480139562349942,10.480139562349942,9.53,9.994330131778435,431804708.0,253241324.04973757
10.523131859313535,9.43,10.54223293097102,9.22,9.889410940990992,405105886.4390244,250582829.23888943
9.4,8.52,9.49,8.35,9.109280641848441,310878575.6666667,230815498.43419626
8.55,7.86,8.55,7.67312689704397,8.153715842584335,387664902.8888889,206602920.7236075
7.85,8.64,8.82,7.77,8.09309495389595,304060445.0555556,205066878.3961972
8.66,9.23,9.41,8.42,8.85787671943912,338617393.8888889,224445300.39763108
