price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
5.663416262,6.028441685,6.028441685,5.663011099,5.843538941566041,1963138.7257974057,259792714.58404306
5.972622107,6.134095796,6.134095796,5.75289997,5.945461209630348,2264830.5314494004,264323986.2948627
6.134095796,6.501927991,6.516426647,6.092981077,6.400131510161295,2045686.6160584437,284537769.8936112
6.514971956,6.613034913,6.752513042,6.308963575,6.553466494501901,2404981.2710953536,291354753.9542794
6.598933515,6.926503888,6.982759702,6.516268407,6.748090844891473,2525669.334657629,300007385.3164506
6.941542529,6.912688386,6.959685228,6.408008552,6.77854104421429,2498184.9326677457,301361143.7188166
6.907763283,7.428923498,7.494186867,6.322935212,7.120170984080964,2129481.886203957,316549366.18959284
7.418755309,7.243689395,7.503746261,7.243689395,7.3948053700685525,2346636.9993751757,328759092.75551414
7.207713889,6.893421523,7.443117983,5.877891739,7.0440291163816795,2587836.856730691,313164242.4313872
6.891232133,7.04,7.08,6.638255587,6.899697112481342,2378336.372588693,306747513.8924694
7.09,7.43,7.48,6.91,7.112684523252876,1764797.2130239937,316216532.26812726
7.448532553,7.37,7.69,7.34,7.465233371767725,2004531.9071676189,331890188.81342036
7.37,7.5,7.67,7.2,7.4860779227287235,1892330.062689996,332816898.2154796
7.5,7.46,7.65,6.5,7.520564568942852,1625468.258698122,334350109.42985797
7.46,7.48,7.6,7.16,7.467525787678866,1609613.1452665334,331992105.29904103
7.47,7.19,7.76,7.16,7.528957513528298,1842645.756242379,334723243.90864074
7.17,7.29,7.48,7.049457871,7.294947968882121,1894550.6364961327,324319621.12968165
7.27,7.01,7.68,6.98,7.383044880121212,1588779.7875815053,328236243.56450045
7.0,7.03,7.25,6.88,7.080007434787308,1682435.9994660406,314763770.5766146
7.03,7.56,7.56,7.03,7.291959476722653,1803838.1772326322,324186758.40755683
7.56,7.73,7.81,7.46,7.592346522341177,1410098.3424342445,337541399.6254015
