price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
6.336678028,6.922106375,7.088208179,6.267538871,6.800242989048613,20608167.507629625,1511661429.701103
6.96191991,6.575101236,6.97778068,6.38526822,6.694521849618055,12466318.326595077,1488160127.0213907
6.576257957,6.505009714,6.863073516,6.392517246,6.588022757944252,11119906.426828325,1464485889.28595
6.447996097,5.630650227,6.447996097,5.548421837,6.101629687041665,14466292.740520697,1356363040.4199018
5.697192758,5.686012454,6.529814518,5.257635504,5.662216970034842,32748814.850559887,1258683699.0950263
5.673912488,5.787694543,5.92324652,5.380853752,5.714610436177933,13632170.454620196,1270330515.5491447
5.774141295,6.095762899,6.487708519,5.750626203,6.1215852127263135,10624642.437405631,1360799058.15272
6.058993307,5.755433547,6.104418625,5.642568039,5.853237582171327,9627509.67302916,1301146665.8021934
5.654474955,6.016961606,6.24853506,5.384065731,5.752822937982576,17547432.244246162,1278824971.5860085
6.007325299,5.800554087,6.105447007,5.621065505,5.851569468045291,14622750.84256166,1300775852.0255787
5.807335154,5.48784768,5.893255206,5.446437328,5.713230412641114,8613192.257595304,1270023742.9299817
5.57143449,5.25654116,5.854597014,5.086518754,5.4108341156376305,11836719.368498694,1202802495.1891646
5.258484111,5.090772434,5.497430183,5.055543418,5.246424741372825,14946257.272775771,1166255079.1398182
5.113683755,4.93598139,5.394279947,4.763909903,5.085413043555556,16201529.075070076,1130462950.2830956
4.896429865,5.479745649,5.948703512,4.739097799,5.140353457871527,14727168.045041462,1142675941.1110704
5.461840513,5.018247004,5.791626703,4.83,5.382917805951389,17412423.052130673,1196596833.3208673
5.05,5.16,5.37,4.75,5.028674600177697,17907959.17229521,1117850266.210819
5.24,4.977242274,5.246972262,4.88,5.0352553364687616,11465569.523464905,1119313132.3534307
4.97,4.8,5.042512697,4.79,4.93663615308712,10590732.689486993,1097390560.4708185
4.83,4.59,4.86,4.58,4.734379516204866,14097026.133194115,1052429879.3056986
4.59,4.580671161,4.85,4.38,4.587044492739588,13612993.349397449,1019678009.6188011
4.63,4.53,4.81,4.388169983,4.621488484077466,12381893.809084922,1027334743.8376042
4.53,4.02,4.66,3.88,4.291136762944048,13062439.199977914,953899139.2750958
4.01,4.25,5.19,3.9,4.3122294214513905,21987261.765096173,958587936.1852559
4.25,4.23,4.7,4.095000619,4.352485642548942,15905360.867911689,967536701.227433
4.23,5.38,5.38,4.23,4.773492748283205,10761796.951132173,1061124563.3661085
5.37,5.02,5.47,4.934082452,5.201676036901404,14134667.37481545,1156307656.5716143
5.0,4.82,5.1,4.68,4.88726861343816,8358026.402181833,1086416392.9761078
4.82,4.99,5.02,4.69,4.8786017856451664,6807787.988511806,1084489798.6891618
4.97,4.64,4.982010045,4.59,4.773949889992895,7569160.834799624,1061226183.7775456
4.639159643,4.8,4.92,4.49,4.694587458421426,8617065.183091737,1043584295.5439829
4.82,4.43,4.87,4.41,4.603338065059652,9732126.138280068,1023299992.6667529
4.42,4.13,4.49,4.09,4.343829267773853,11511934.992582088,965612430.596276
4.1,3.98,4.4,3.86,4.056412587423075,22837494.32755959,901721079.8550311
3.974319371,4.0,4.184014267,3.93,4.031344348155796,12722556.05167356,896148530.3929169
4.010494462,4.210106185,4.65,3.96,4.348266135341726,13144538.829934001,966598724.9951452
4.232420206,3.96,4.28,3.948945671,4.149302459075815,11225159.295460878,922370053.1951693
3.99,4.226447301,4.45,3.82,3.96926849339721,11045155.472810345,882349365.3475796
4.21,4.2,4.4,4.11,4.220766493021581,12395635.858491948,938256165.4856627
4.19,4.07,4.27,4.02,4.123776519465454,7185774.221996141,916695759.14009
4.1,4.11,4.268807342,4.01,4.138233836271122,6834045.43210189,919909551.3865283
4.1,4.98,5.033427354,4.07,4.383484215409093,9109107.83968145,974427535.4290812
5.01,4.86,5.93987302,4.83,5.302286084468751,31328345.851625316,1178672788.0224862
4.86,5.33,5.47,4.64,4.976902524438156,23152315.9787044,1106341581.8657074
5.21,4.96,5.23,4.63,4.931770150719303,15049000.202333935,1096308871.4623382
4.995057484,4.8,5.03,4.67,4.8378541373428545,9070471.004941212,1075431791.7342906
4.88,4.43,4.96,4.34,4.653552228831575,13198057.356937658,1034462360.6469797
4.43,4.59,4.84,4.35,4.543162717702798,12506405.668820746,1009923301.3095889
4.55,4.13,4.6,3.744633847,4.16177581775875,10141216.62178415,925142821.0580497
4.14,3.89,4.32,3.831802194,4.052104737863644,8380918.3193042,900763465.5411825
3.89,3.53,3.89,3.43,3.7040980586702124,10331716.688371634,823403248.4044907
3.56,3.34,3.61,3.22,3.472798412311595,16164454.000826197,771986445.4068763
3.29,3.2,3.47,2.97,3.2316449057874608,16752283.31412479,718379176.5141625
3.171969838,3.52,3.52,2.57,2.893710752878048,20962509.516292214,643258033.7028621
3.64,3.03,3.64,3.02,3.2522485078222982,17015665.832347702,722959258.514048
3.017938525,3.21,3.4,2.91,3.1113104690965243,6220432.308636541,691629407.8803899
3.2,3.93,3.96,3.2,3.600327376427483,7766512.379211911,800335523.0110408
3.947014158,4.6,4.65,3.810503536,4.196600573383796,10389081.682910988,932884197.3532716
4.65,4.33,4.8,4.16,4.411534105159718,13990139.778194001,980662891.5055747
4.33,4.21,4.36,3.85,4.100916351000002,7592951.28022261,911614053.2361457
4.2,4.21,4.331591791,4.08,4.238113867569938,7570415.876185717,942112403.7191412
4.2,4.7,4.7,4.17,4.3994145106855145,6574359.648688924,977968763.7310541
4.658596621,4.5,4.68,4.32,4.520225482760556,6661633.108775262,1004824463.8971605
4.49,4.4,4.61,4.23,4.430345165367817,7059683.769186211,984844500.0472319
4.41,3.990468829,4.41,3.73,4.087202766783218,9010064.034070542,908565589.1802503
3.95,4.08,4.28,3.92,4.08192387460763,9565469.855444476,907392116.7460711
4.08,4.02,4.11,3.733037296,4.008101963560973,8159818.29584223,890981859.6749958
4.01,3.96,4.35,3.88,4.0862431964160875,8642953.749130066,908352281.2858981
3.94,4.15,4.23,3.89,4.078169657350881,8249147.084191677,906557572.2401015
4.15,4.08,4.19,3.91,4.077090675523296,7356146.321440605,906317719.7503121
4.1,3.86,4.14,3.657236476,3.990935367630286,6327550.292035072,887165807.6619301
