price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
45125.2398644,49696.461576562,49696.461576562,45125.2398644,47545.39536087464,454955758.23928934,5868052695.439148
49696.461576562,48247.653970584,50156.804238009,47299.805723113,48636.79936056025,326128393.881293,6002753777.08035
48304.500360295,50658.345767779,52447.67418802,48205.876436706,50497.47481164945,367306621.2331759,6236564954.450582
50555.944795385,48649.866205071,51725.616192271,47689.030064443,49434.933515910394,279538467.8454321,6118561721.264231
48596.041197162,48835.791174827,49353.054648118,46476.891486827,47778.88651243886,288766228.6014373,5924495330.875448
48936.691479109,48979.45614625,49209.959606364,47178.06759245,48466.12026667356,262454205.43790433,6047117825.672856
48979.45614625,51465.905013114,51465.905013114,48979.45614625,50225.35663031392,612470619.7064022,6284226757.401074
51465.905013114,52314.734035303,52314.734035303,49359.147459116,50903.91952658307,467355644.7600789,6514155909.654604
52314.734035303,54762.78158175,54806.825557626,52014.253634916,53973.19186883652,415886027.46929437,7023180704.559995
54762.78158175,56160.577041171,57155.395126362,53346.277084518,55365.210153495034,397648686.3585775,7254175535.532928
56044.35336548,57872.440745653,58024.429255214,54481.9816287,56251.7038772194,286372330.96004236,7421229117.648495
57872.440745653,57350.799306161,57990.95174991,55339.304090996,56872.42372597343,376159640.1378174,7559416380.98819
57350.799306161,61266.875184255,61598.93812143,56200.29615158,58723.974018227455,432456628.62471664,7851101706.366918
61239.91771083,59631.091142522,61389.581909267,59449.072707926,60433.928325833556,324957885.95822054,8079714047.522322
59243.960063195,55903.08804068,60467.228463702,55450.93812704,57443.7660042675,240393907.31838438,7679944295.940549
55774.134376842,56427.32,56680.4,53665.64779969,55351.16799862249,284642614.81226176,7470160787.383811
56667.037806912,58658.87,58658.87,54531.92,56121.38909299097,250986651.10212627,7655125836.451248
58782.18,57723.83,59885.92,57441.08,58483.758742651065,220979895.61571413,7977360143.773822
57723.83,58122.76,59261.13,56475.63,58271.06782349778,222466007.6405359,7948348464.328549
58122.76,58242.03,59741.61,57988.22,58804.67217431424,720301605.3895178,8078815973.376001
