price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,volume_usd,market_cap_usd
125.506618183,129.85267113,129.85267113,124.799297119,126.80652174425447,559550970.0949149,1430369292.4726279
129.915253553,129.185279485,132.559024922,125.108285753,128.06827815332622,589787075.838148,1445516978.5190256
129.481638382,137.787257937,138.043302729,128.310537697,133.90533692175518,667720238.5035425,1512372104.2617831
137.835118139,139.887531617,141.890561164,131.566340475,135.88035554072272,776843968.9879744,1535639854.7984214
139.887531617,151.654522031,157.25031987,136.970927106,146.53140158392216,1120826490.2597463,1657081118.1639311
152.005914281,145.675334844,155.965753453,142.450615572,149.60496917134105,1133160258.409222,1692882276.7007
145.675334844,156.437010656,159.318048342,138.184236191,148.5436190083187,1001185628.983722,1681958649.979502
156.437010656,145.36750807,157.715475949,144.470105494,150.20800235662756,911578238.587198,1701842974.799692
144.992603187,136.005375599,146.854266776,134.910034754,140.24541190901996,812854140.3671405,1589981191.7015605
135.344909144,138.84,139.972486032,130.997780932,136.90268305803508,823573141.9255699,1553068254.8174038
139.14,145.59,146.82,134.92,140.19059697421503,719482997.3952123,1591398293.0504327
145.89,143.81,149.44,142.37,145.3102924126254,904283460.3440322,1650523789.5906303
143.49,150.25,152.83,141.34,146.93181587241384,645143273.2319696,1670026756.247091
150.28,155.43,159.96,149.91,155.09879922728737,564446835.190303,1763962652.2730694
154.76,149.92,156.2,147.74,150.9062856826524,618504025.3937044,1717328099.221486
149.92,141.646476635,149.92,141.646476635,146.86792818635044,468977337.706389,1672452380.5489042
141.36,138.24,143.71,137.06,140.7316143197976,568042550.2138023,1603560387.5432458
137.67,128.77,141.34,127.91,137.59607607187115,531162361.2572577,1568844457.5547724
128.24,123.69,128.62,118.83,123.3073754764085,677481184.450899,1406785739.246059
123.69,133.19,133.19,123.69,128.35514255661244,610329973.9788504,1465311534.7812107
133.5,133.58,135.47,126.77,131.71800599591387,509281453.11695933,1504640468.6151161
133.719456651,142.95,143.57,130.93,135.26256994924697,557778337.5761985,1546120231.9718308
144.21,149.63,157.614424349,142.34,147.88898537867863,910784972.9196868,1691503093.8293982
149.63,154.11,154.89,147.4,150.81375648078557,960001148.3196759,1726023613.9024892
154.79,156.72,157.25,148.19,153.21609900537192,833252435.4756685,1754615182.427007
157.68,165.04,166.76,153.56,159.3991525926826,832644494.0822208,1826550997.4048564
165.04,170.25,177.09,165.02,172.06101809398845,1043674949.8455505,1972875864.8367236
169.9,171.9,177.04257562,165.01,170.12450751376426,791932747.0837617,1951893199.4362094
171.9,187.32,193.59,170.34,183.96483679711227,1396846910.5681603,2112010262.763126
187.76,196.94,200.01,184.35,190.47082108587762,1268935263.86757,2188088904.4031363
197.44,190.68,199.56,183.75,190.75919891443428,1043440283.793472,2192749947.075636
191.06,172.3,193.71,164.48,178.7644624495208,1093410415.4459908,2056135608.1992626
171.55,185.08,185.51,171.03,177.92381349626626,1090106240.642709,2047720663.1316576
184.99,194.6,197.148827614,184.39,191.31360422959924,831931560.4687479,2203242286.224715
194.24,204.943785074,209.58,193.792928026,201.47492005830892,1041876758.0168067,2321699212.0981283
205.702775786,221.089978399,228.697585969,205.702775786,220.2699258211706,1463903802.7750025,2539843487.7644806
221.088943774,221.7,235.794506414,209.685013162,224.05159209008335,1376128097.6940398,2585047319.319709
221.27,226.54,230.62,219.878861666,224.46342147020206,1243367962.0203414,2591420333.1143937
226.17,237.254480824,241.768882444,219.415996142,228.67613197567712,1226549460.8038533,2641695007.0779734
237.373661245,253.25,254.3,236.009888288,246.64048179175694,1416804517.1478643,2850995899.9857044
252.72,271.200445515,271.200445515,237.732723752,255.8548421610764,1457687079.8450215,2959333500.64407
270.670973358,281.26,298.875409645,269.69,283.40933640809715,2452493606.3660707,3280070771.3221297
280.73,258.637209491,284.73,200.058759597,241.36728708648968,2815571253.106844,2795210954.871775
259.683458165,226.935153716,264.9,223.762962002,246.80385571031945,2275680989.926773,2859918879.7257743
226.549374397,247.4,247.88,212.390453923,231.68307308764926,2212801497.603918,2686403601.997261
249.08,238.5,254.26,233.165318362,244.78892182999286,1674660703.0647037,2840066607.9250665
238.18,228.035524118,247.8,225.753561353,238.82678074964107,1095383463.450518,2772628022.894764
227.391506576,218.959462096,228.572845686,182.84758345,207.0232247647152,1697663663.6535244,2404899713.0822363
220.227482421,198.598193904,220.227482421,198.598193904,207.55258544369792,1095604114.03704,2412524808.434967
198.685232328,201.981562039,213.11,192.877536304,204.6744678489327,780374934.1508216,2380577936.383919
203.062335825,226.808940223,227.323183336,201.341566577,218.9380695414491,827370874.798328,2547983217.185643
226.893093226,241.090161446,241.359882827,224.24,231.73815290485422,798728118.4134567,2698619308.305583
241.761112278,240.14495322,243.392418779,228.374217816,235.7888434703021,735811326.8380355,2747478957.1218047
240.464551917,230.371809242,240.65,224.36,232.83853589703807,626463683.5482949,2714767425.544014
230.05,245.396080861,247.537051191,226.46,238.14537509815685,679234542.9520161,2778368012.202515
245.646857297,257.882690489,258.267718052,244.010503892,251.29721200832037,710563637.4355673,2933588528.9738684
257.612326381,243.2,258.532100608,242.41,247.94135936964096,642930821.6830446,2896187430.646744
243.67,251.151289314,254.188052967,243.67,249.91200989681195,632316400.6263992,2920969497.9576983
250.43993724,242.702399368,262.178461133,231.25,242.63442878377074,940185953.8137954,2837687271.243366
241.836404511,291.39,299.52,241.836404511,270.9852966246112,1479086282.4969387,3171203778.7623415
292.39,310.45,321.486771942,274.242238499,294.6901581678228,1510377498.3675647,3450720451.9283338
308.94,319.79,337.01953771,298.348418015,316.88782135221163,1807170299.2934396,3712915149.0508347
319.22,317.313428,339.82,297.29,313.87623425551214,1556309152.1766276,3679833156.565294
318.227610568,304.220385428,318.227610568,288.9,299.16287492589566,1092215138.8815248,3509501057.7350597
304.120207624,284.945243777,322.88374527,269.808961769,306.19276399737834,1157051892.9980628,3594146052.276498
283.987423662,302.217594693,302.217594693,273.119196677,286.2754094752362,1369801862.6253314,3362425427.099684
302.253695921,299.935748825,368.217552814,299.935748825,342.242952955722,2427595762.8468785,4022241654.709972
281.68599344,298.309223332,322.971812931,261.430622132,300.0305650904931,3347217132.914442,3528263805.363418
