Name,iota,anchor-protocol,compound,bitcoin-sv,drep,moonbeam,usd-coin,chainlink,basic-attention-token,bittorrent,enjin-coin,bitlux-otc,sumcoin,binance-coin,shiba-inu,huobi-btc,bancor-network-token,kava,unus-sed-leo,the-graph,elrond,helium,compound-dai,fei-usd,compound-ether,gnosis,theta-fuel,lido-staked-ether,hedera-hashgraph,keep-network,monero,wojak-finance,golem,bitcoin-defi,gatetoken,ecash,thorecoin,ravencoin,voyager-token,celo,zilliqa,cryncoin,solana,holo,yaapoo,open-governance-token,the-transfer-token,convex-finance,bitgert,magic-internet-money,bitkub-coin,waves,uniswap,siacoin,pocket-network,youcash,bitdao,bitcoin-nft,frax,the-sandbox,osmosis,loopring,ontology,aave,zcash,amp,woo-network,ethereum-classic,internet-computer,dogecoin,klaytn,mina-protocol,kusama,neo,apenft,huobi-token,cosmos,nem,ftx-token,bora,decentraland,bittorrent-[old],swissborg,mixin,cronos,stellar,axie-infinity,algorand,renbtc,marinade-staked-sol,arweave,eos,pancakeswap,ecomi,curve-dao-token,defichain,egw-academy,hex,tether,wrapped-bitcoin,livepeer,near-protocol,decred,perspective-coin,bifrost,thorchain,polygon,ethereum,litecoin,qtum,bitcoin-cash,bitcoin,cardano,icon,pax-gold,stacks,kadena,dash,the-bee-token,wemix-token,toncoin,tezos,iotex,liquity-usd,nexo,tron,fantom,audius,uma,chiliz,filecoin,gala,bitcoin-gold,render-token,unfoldu-group-coin-(new),maker,nexus-mutual,juno,okb,avalanche,compound-usd-coin
iota,0.0,3.170357186667697,2.1711599763447045,2.2299373116856183,2.7354654403901866,2.2583849447516933,2.208431462790924,2.103930292878962,2.225857211911792,2.376386374693878,2.451749263696278,2.7857415036632593,2.56902395450564,2.079742440028757,2.3417663846258656,2.5980977790638815,2.043096932305184,2.5007242275045005,2.2425864085859324,2.5167405438543,2.2875790816128427,2.2635778432514617,2.580958687314183,2.528404995767036,2.4960800916178805,2.1249971132673036,2.245809526442065,2.6342480235059043,2.3354674917325995,2.370026523828971,2.0463207333937836,2.054409128695705,2.051726116575427,2.4787961504227654,2.4370158426220683,2.1166133953023296,2.7172069893031114,2.211900512491455,2.639934940674543,2.342350001233433,2.1635107929595905,2.364440824734954,2.825380443584748,2.6792641880108405,2.7172069893031114,2.5526193149626435,2.3411257440613955,3.2748872303738934,2.4252580838394473,2.3117703207315192,2.4759250622027453,1.9339587727306637,2.2945357779806668,2.233721750076529,2.8337010095746415,2.3176967946421874,2.7692084923007987,2.288538345718026,2.3329892977908457,2.461138573775975,2.5490859233383767,2.2114459744799304,2.501824914461032,2.274962533890061,2.1584255606107625,2.7494372837178878,2.4371508211134447,2.12760402901628,2.039089988394993,2.146334296063825,2.4560948371747475,2.417977530019438,2.2735788936813304,2.018925885248579,2.3472122319108166,2.4867487851768333,2.5304184308567996,1.9339571100395463,2.5570209118423093,2.6447373410905106,2.5635170993416394,2.3393680500619767,2.258723818730783,2.7111261516583536,2.41631588281176,2.0922718437756176,2.665815563974476,2.1226523808871565,2.4114622646630894,2.331760010449283,2.359947370927085,2.0710948717338913,2.298023881859652,2.928793736023468,2.523031293674914,2.529251817854039,2.331421407874483,2.382546955575417,2.071809482313468,2.7779744347165307,2.4593387205980974,2.798606966601197,1.9785116001716565,2.1315264816054187,2.32568032076026,2.4342771820405567,2.537958451662536,1.9881249970467905,2.1276342293921617,1.8840881663244304,2.1943200028927126,2.081932137970836,2.114452519782909,2.4842797509648458,2.3964062931579884,2.1308831354787143,2.4589022135426366,2.090443437533508,2.243753322399435,2.5082790111667186,2.139506335297656,2.0195302722831876,2.6695507429680583,2.657309905442198,2.680916409917844,2.251648519610656,2.299814053789516,2.6029514840357817,2.4363375892046553,2.7173530914313537,2.5014870707760584,2.77271479826737,2.3346037686094725,2.7058386153135667,2.391945378183667,2.102175757166327,2.190761573950288,2.3752559940198688,2.1787844595418564,2.516596734567521,2.5090030693050682
anchor-protocol,3.1703571866676974,0.0,3.326735883727477,3.2778652362679592,3.4075997747279954,3.268027873463915,3.3695090158539767,3.3407371188155963,3.381831981726919,3.3223504041148457,3.340309688069528,3.4301093208660607,3.1403696282211726,3.327220458979046,3.1055359448138464,3.257234805164641,3.2421782472645844,3.227128956070319,3.3885390053687967,3.211207059867902,3.31403721464636,3.4029286673341668,3.4432888813193694,3.224214253124595,3.367863368293682,3.3119190569589745,3.227358892603243,3.505326520643867,3.303073300429119,3.257422880824287,3.3018517240286287,3.243891220012106,3.293586462470646,3.3505849523454243,3.090080771014316,3.1282604811928234,3.363552212585911,3.302392745569553,3.4950854558117954,3.308577437755269,3.2203620638106476,3.2916082513484826,3.4691692967040093,3.4051228603209847,3.363552212585911,3.305679615310258,3.302247187207362,3.779128965099225,3.3397826224258083,3.291046149119164,3.386791210192897,3.2467014385847155,3.308595024563847,3.229825955045481,3.4611869501442336,2.9996084550148407,3.40800619820668,3.3500621391642778,3.0057646374952927,3.3686022944146505,3.161960325794945,3.3398331593066004,3.22545264063028,3.247597909689959,3.3417693870307255,3.4065773321502557,3.2275690572012308,3.2748389023711173,3.3060524264996305,3.3572060170718916,3.32559055020979,3.4007186082967364,3.322458869567074,3.3045785844099616,3.2018426297391147,3.2722557759631763,3.279673683816612,3.2974245782949216,3.1440815913715685,3.159315567400723,3.2689218842029706,3.3112007092554343,3.3246650580736237,3.156819922191051,3.1127880495739966,3.259693737360049,3.444640386390602,3.31689514807166,3.2885121667855306,3.294954292596543,3.0633153539249163,3.3352568059663055,2.9097693236597446,3.4957230594057007,3.212338190174427,3.019586567917387,3.313398742726148,3.2404519749054255,3.316051674003566,3.4085462606995924,3.1093787661414134,3.379894706430677,3.2605323073709322,3.1929885894804877,3.191596230910558,3.130038172018377,3.355281426017026,3.2578293130853537,3.280706466294791,3.203106854309613,3.2259083782933384,3.3045383665829964,3.292436951711628,3.3720907341555844,3.332342801864567,3.158095290548436,3.342725611462315,3.297098258120901,3.199448507959533,3.3179330099775526,3.224377750758909,3.269304990485438,3.4302235560698686,3.3784970269691055,3.549724880345233,3.432562617171193,3.3276727393790293,3.3314547628501625,3.3368250857648336,3.3090035778657385,3.3925270616101137,3.4500604673130297,3.292741470019659,3.3607550839191815,3.208155713650145,3.1918572624474812,3.2533097982945525,3.346426982479992,3.152493440785595,3.380974953073145,3.3720355437859255
compound,2.1711599763447076,3.326735883727477,0.0,2.2816744009042615,2.8910908291358264,2.4005738039632694,2.1884732055724787,2.137911569275642,2.1334580402117096,2.439777525482478,2.6177597053934876,2.9739894630568644,2.7481494378081153,2.125675087985944,2.4672787940838963,2.8731332738149558,2.2248052084081102,2.465889020218238,2.2083446353787592,2.660876770264297,2.390392654095009,2.238274476254474,2.303954049950098,2.4738338241189513,2.2332448543015104,2.158765625390944,2.323942645224436,2.7092074789391947,2.508929232592317,2.457085387941151,2.213959128625551,2.0517164725019117,2.3233945436869816,2.4280746405685116,2.5727418268391182,2.3992722612236714,2.912073193689248,2.3595651712094052,2.5837521282250777,2.4828204984471376,2.2525004284876236,2.406085887411691,2.988091109360685,2.816786952186052,2.912073193689248,2.5119460903703623,2.443949800920892,3.2656163998488865,2.4654714862656157,2.414764767361387,2.5871519253054034,2.1272589486458564,2.1168109474425814,2.3392464640358095,2.7474653643256315,2.500528704884905,2.633711001101755,2.2882298738018223,2.549562534519476,2.591156699680195,2.6459436000356624,2.126350663321824,2.672392265009291,2.0149187020658155,2.2093924939920355,2.7856270063113278,2.52754359640768,2.0769925336564166,2.151479842219062,2.4077001412153676,2.4817639536254332,2.3077409375584415,2.362299792763451,1.9803190682406706,2.5290582650330173,2.3728694737449856,2.6371632894955352,2.30366113415357,2.68871453746345,2.819812745563597,2.611234295130494,2.442314987517081,2.139306123119829,2.938321306876257,2.5445586260823663,2.1083799621855013,2.5860678130006822,2.044009973759107,2.575809523879532,2.1041916996699297,2.6927291244398455,1.9839667332069102,2.4359260868537946,3.0914594459873,2.5438157005313813,2.761037903177359,2.3892825238704773,2.5360361812646097,2.100663074971794,2.746751189688112,2.7230184207770933,2.7913739923524297,2.274490080168433,2.2739779565782476,2.303359508567892,2.528907643910834,2.657949126860351,1.9127944886128276,2.250846111728757,2.2034777079867975,2.2530619988165674,2.06480600995754,2.141854954068402,2.646769228940915,2.4697366142098907,2.292732887804004,2.5494508106481897,2.0206550856010757,2.239925105894961,2.5669202579552985,2.449081268733329,1.85439409013423,2.805065687137865,2.6843091434037727,2.5765726800926783,2.1137486033026014,2.638321075389765,2.748488602294241,2.210732370965426,2.9140008923205865,2.3705293896240645,2.92544679583961,2.358951192479053,2.770553546495619,2.3932851183162174,1.8001003400224633,2.407949701435977,2.4102789284593555,2.3027742301412717,2.489659595930546,2.248290197706307
bitcoin-sv,2.2299373116856103,3.277865236267959,2.2816744009042615,0.0,2.843226104144857,2.393084912532399,2.2777893512861964,2.27793852863039,2.2922420581941205,2.510614191822506,2.7032281883350318,2.9289278182932263,2.69010286063411,2.135474297350139,2.4743106441696123,2.649630782609898,2.3514813187000048,2.6138635930966503,2.4294893529412365,2.648620054280248,2.4623657257971234,2.3273124135650676,2.684951131237242,2.5719788278634295,2.6168560731662094,2.403070992025139,2.3962222021242026,2.8713218553728055,2.5714495449993895,2.4417738083730143,2.1132088052817166,2.321754442333993,2.379800797930323,2.5487063775035472,2.477759918796564,2.287744703277495,2.8421220569345373,2.274245552915956,2.742263641462746,2.542284559381454,2.361898035331282,2.4498800339965783,2.8549335495680515,2.8163816038645746,2.8421220569345373,2.638777298933008,2.4470713520028227,3.2989395610892873,2.5571836889374575,2.5291162957436764,2.6304766670580166,2.2195220637052024,2.46137289335023,2.390472417362644,2.8919922326323557,2.4453552570247465,2.819397121269621,2.4336419027429343,2.4467624913129713,2.5883091234712667,2.6667049288476368,2.4853469344913606,2.611957396497501,2.4676506671563723,2.1884874861012937,2.7546393936509794,2.5580520759328227,1.9452552685172746,2.2622762551975457,2.2904988659534324,2.554419074546336,2.5335707551193467,2.4447954237137717,2.0194514720308727,2.567195959688737,2.601505958562537,2.707043029587675,2.2734323049543526,2.655214633943696,2.796906858507046,2.6946246364629234,2.6283761013113422,2.307202442298088,2.804407208289266,2.5437083901032,2.06032019981763,2.757720683608918,2.116375596574764,2.6797725517963653,2.4418468432902323,2.633620593602798,2.103910333406584,2.4607789103663733,3.01285275180414,2.6765274052323185,2.548166276892079,2.4450541499766194,2.4974121675785996,2.029457011955856,2.803794267957587,2.611549829089783,2.91878151392624,2.2378421377345794,2.3625340050244024,2.4293396717076225,2.5220679204173257,2.597888345227601,1.9443447066449704,1.8756163011773983,2.215543459173853,1.4259840609422898,1.8697137727058664,1.9721545768856217,2.6578890901418664,2.4824917543844873,2.32205259219521,2.54781156961634,2.1082268029399893,2.3670954283375325,2.6071623821837284,2.361150629474023,2.0026941650356362,2.7608597170983074,2.7793107827899024,2.7585567116293137,2.336183752644184,2.5524212713749925,2.759137401878583,2.5755016019208408,2.8046185904424754,2.5854681729485556,2.9175129231777515,2.0983074923180585,2.7523382049719642,2.477367507371425,2.2331876376633395,2.465231124862036,2.5072171956117373,2.308495958686183,2.5742856936534557,2.6232752384759404
drep,2.7354654403901875,3.4075997747279954,2.8910908291358264,2.8432261041448568,0.0,2.810384378397041,2.8685900459462146,2.770252749109046,2.926253642670409,2.9703645883032,3.0252720483428184,3.0058598804129546,3.038807248410165,2.888866351581931,2.8243435133214945,2.801928295909936,2.894239024005784,2.9023542174229857,2.962062216144587,2.800786730020638,2.8974576552123876,2.845539767884836,3.027163881094687,3.05776548147443,3.007015918459637,2.8217183356889493,2.78957361288259,3.22732386882659,2.7372750135040285,2.8491867197214362,2.8562801187248987,2.867243184316979,2.8175575732630405,2.5119012425055214,2.6487624964321834,2.755558751891479,3.0455432183644473,2.9160397387248453,3.0426206078066507,2.6920697435741907,2.6301788895883877,2.7120333456556054,3.1783867276798103,2.8368116438336206,3.0455432183644473,2.850713454913735,2.9096851435407967,3.39686670558937,2.84812872545666,2.753350847050343,2.912414781602197,2.82792434282163,2.8658948464110745,2.84411073188407,3.019344420263179,2.6997759999265254,3.101178407572621,2.693257961026125,2.784300679057181,3.006335035758737,2.7418017865446114,2.832777132908711,2.362859470963422,2.9036096477136604,2.8993525512814604,2.9605324593806084,2.8332971136411316,2.8118752470059825,2.7559554621221967,2.9097230821177127,2.832951122262952,2.9725963339628008,2.870355546466886,2.8727001437805395,2.7400170466903737,2.9330358398826024,2.880375671725869,2.869098203957133,3.0118860826892853,2.8657753953663225,2.8215987082199883,2.844392774085051,2.8238348095644197,2.8857198215296367,2.8264919318660557,2.808752270121973,3.071902288214282,2.8696387516492567,2.8632961540391064,2.956516361511103,2.552545658688615,2.8656212714701352,2.8247726037104726,3.2568139260555804,2.9161199606781945,2.698210644590349,2.8214989175723,2.8056655477068944,2.8594605131006836,3.084955277687282,2.382028664544221,2.9313205671842857,2.6829723242709504,2.8657456708325366,2.9260483776147512,2.867961616840495,2.897479523202749,2.7481951009014596,2.8291233800761346,2.7347200079131926,2.806510927437248,2.760738036679239,2.7935799332600273,2.721368191815234,3.025498795367795,2.5818871801790597,2.881041426796195,2.8561112872284746,2.7319943306323,2.790119169937133,2.810035253626793,2.7412355194491527,2.671427649980336,3.057951864856576,3.1279187726839175,2.947285566903026,2.910663735675367,2.926584483591688,2.8716296302979334,2.8631670343867346,2.892143070336742,2.9988319838375284,2.827450430675186,3.008179196389683,2.844016237035014,2.8818634096539153,2.8440825573426007,2.8407845664505698,2.764615481557473,2.8369544705900402,3.0200762110361428
moonbeam,2.258384944751695,3.268027873463915,2.4005738039632702,2.3930849125324007,2.810384378397041,0.0,2.4958612783962946,2.3804317154329753,2.4569179734908504,2.538659492722093,2.577590625535499,3.0578079332175916,2.566918053486593,2.303919941316844,2.359301545307865,2.7597590422994642,2.3804786167949206,2.6107881334157623,2.5195133254088256,2.6659587970621392,2.3219590107128236,2.4398238413073905,2.685105374860234,2.57831710137572,2.6219751534897426,2.4082812654744403,2.322590647667799,2.704031746768514,2.4541661418727294,2.415979440998648,2.427179823522298,2.198216136413689,2.3512284734335935,2.510809737102392,2.3362715392677673,2.2823322366532,2.8447770750558456,2.5499441091273836,2.6771907249217826,2.5323612098745825,2.3823023965895977,2.2897978053559704,2.96405280429363,2.8037342100958638,2.8447770750558456,2.6743693181193913,2.539190752402495,3.288741984660048,2.571981593524219,2.4816909900996666,2.7241395334730996,2.2670744322490104,2.3742557131636697,2.531893075533346,2.8692906952861406,2.3509511046493685,2.7759594378657093,2.368624474909161,2.2945869372713767,2.6126125480632534,2.7110790837331065,2.3805288667776603,2.5285513917468587,2.3673784457485922,2.4208747081029003,2.785353985764741,2.457568970132483,2.3066358705579812,2.232178144279616,2.517380170386816,2.5385005180601876,2.583107662943417,2.310904267417213,2.337765023455826,2.4821366558395184,2.404505378916157,2.5758402646162875,2.4890584468287735,2.4890458944753724,2.7906362655339283,2.6023621901363567,2.3963293378064514,2.4512276636157853,2.7741638574192367,2.352068488723427,2.3049138043371715,2.8079511748483523,2.4326372369455895,2.530565239581565,2.4636344490186883,2.6373104251983803,2.370576421012891,2.1598735486624476,2.98769159520774,2.637891374128817,2.72442875843829,2.510096465325499,2.386157798085414,2.3751582092522927,2.5612307133484067,2.618470169416573,2.9685346069017187,2.483250395617969,2.1116677781861757,2.3271743498237094,2.4336009821472464,2.6138563637629475,2.2992032367028936,2.454587729705978,2.3962250836341936,2.429645752303701,2.366771739827243,2.346816458555932,2.5436290273507067,2.3680915192146634,2.3109145078611166,2.329629165623174,2.383638741585802,2.409089681830423,2.714310044047556,2.458351640037591,2.290857271363365,2.51506086410584,2.873630939956197,2.7453941942567797,2.4619687261277914,2.6154238854763197,2.777126760383609,2.5365026460056357,2.9136094713085057,2.6549179608807774,2.9953444222599694,2.3879234016419524,2.68535448781329,2.5273701830106248,2.3757072702805035,2.458540426260156,2.363450416516218,2.0145598017052135,2.3179263711061755,2.6424624785426776
usd-coin,2.208431462790917,3.3695090158539744,2.1884732055724685,2.2777893512861844,2.868590045946213,2.495861278396286,0.0,2.1605211378035327,2.215188962775947,2.4626070270963347,2.640019679094366,3.0386109958542984,2.830512319062997,2.0467483974615877,2.5770973334243226,2.919168781962334,2.3628428858213146,2.578022440804391,2.2450733548906188,2.784731520352041,2.48919432751962,2.3765159692335858,2.6727953934300066,2.5491177096894595,2.621748148715258,2.391954501734374,2.530114502452372,2.884100395349479,2.6157031699030333,2.498252237049161,2.2142184492050094,2.30970818440346,2.3461239189493495,2.6271115789984165,2.6416952288108186,2.3839700978764164,2.9728348889288685,2.403214107992533,2.703094024500293,2.5545556253464716,2.41541974331672,2.558023546532441,2.9779671221525907,2.868980917372299,2.9728348889288685,2.5965707098724065,2.4213411965306633,3.3430582009575707,2.5311328620823437,2.345005982984482,2.5576273362197885,2.1944374210145265,2.4373263147823025,2.503963768753486,2.9505301883508004,2.584344258383067,2.845967485427923,2.4372613946097794,2.6292537222485106,2.712945633626879,2.66511705923781,2.3654334755765243,2.718647075166717,2.4097379680113473,2.185768201710883,2.8635671205735873,2.635894939186352,2.2154980631827614,2.236696850858141,2.283778979499578,2.5471666316694552,2.5033368756889605,2.4559084554842094,2.174737931847955,2.551862182710959,2.586478894324777,2.769387250580297,2.2772194099418197,2.7786594150916626,2.9080735436430665,2.776052276722178,2.548514560097296,2.3354194634041603,2.923139214084931,2.5880820593778266,2.155908525227807,2.855835087600789,2.1996631189102196,2.7803334238878548,2.4751159882766958,2.7203129261369403,2.164806804126516,2.5576663866982647,3.1012927773023278,2.692310577173402,2.838460546102011,2.488475839460397,2.5256570061046033,1.9827263334646377,2.8659556155607273,2.762099106150678,2.9721117903153007,2.375505873268887,2.348418239648139,2.409214378191717,2.6302893874848787,2.6085435725913646,2.0982090792383237,2.246122462174504,2.1606053401645524,2.2452246584056668,2.1402156390039306,2.139133266734731,2.6220165681552254,2.4419339351887466,2.399864947415754,2.7051330145319503,2.2077863445077317,2.319853673306154,2.5883572519929987,2.4470731962840984,2.1245729501683805,2.8560449207343925,2.6853495108869283,2.8429673296743894,2.2775198802924983,2.6157700275868088,2.8740273496931503,2.447141790244307,2.9334873335429905,2.5239652314745866,2.860062353134122,2.451480309784481,2.830936679337376,2.391418244952123,2.0736968675794767,2.456764113988343,2.4120816051355947,2.2866811517282444,2.6124349456438023,2.4358770351282546
chainlink,2.1039302928789545,3.3407371188155963,2.137911569275638,2.277938528630392,2.770252749109045,2.3804317154329753,2.16052113780354,0.0,2.155504887984425,2.4945496024507166,2.601737068899846,2.9971824361398482,2.841158091329567,2.1226021098031547,2.5277330723684677,2.868034092905066,2.213622134757335,2.6360021172340544,2.256956630433087,2.6076779863976998,2.434226660614032,2.187666053391761,2.6390638349625686,2.653005629994622,2.5968996212515867,2.3114219425803726,2.4445585027942975,2.836905387518605,2.505956786481587,2.437738094569562,2.1250623467500773,2.1861609325936064,2.206374144118355,2.56126791480706,2.610883711439534,2.3595139581567444,2.9206564586088914,2.3515382087959855,2.695923022067978,2.560606770727867,2.2025055018373942,2.4204037008502985,2.856502740849231,2.7013756820752133,2.9206564586088914,2.519172807569103,2.4357420295820518,3.3264135846494325,2.4486114010018336,2.290759939317785,2.6205330092390637,2.1019882930124862,2.390823097802971,2.2591106588852563,2.80075441968543,2.566188984770693,2.801075958976353,2.254518215929225,2.598546068038358,2.6380537538755466,2.595926729486092,2.055932496137948,2.583540764383558,2.2898971368589702,2.1906308204456275,2.8130158407361208,2.594852804649937,2.128754901959853,2.1135988914665833,2.353461716991276,2.5804100571336086,2.3938278179593153,2.4014568422120095,2.028776094951221,2.501943206187508,2.6219226702895644,2.6835649560457924,2.266605862785326,2.777335307281532,2.8643997349652954,2.7036016956161606,2.477506045793996,2.3597199825959514,2.896690822495395,2.6289921406974575,2.1138083634810707,2.6762275235394433,2.0684026628278755,2.610958954849973,2.3925754638266956,2.590040445352979,2.009772876852516,2.5410607020557454,3.049959533885736,2.624045412940508,2.7679931421785953,2.474453833991236,2.5817360071082156,2.0308594652114738,2.8550156223807375,2.6286857705464786,2.8291331106847077,2.326321337544602,2.370669850420119,2.4204311846884035,2.6030178349181594,2.544194383252451,1.9095965625137326,2.1689655399495993,2.070871890683064,2.24883035909071,2.159508407183475,2.0716235398894143,2.4697543158848676,2.5814095091427336,2.167853332478456,2.6389376621773732,2.1617192934960214,2.213779459573586,2.6486690661077428,2.4947864020434167,2.015828270289819,2.8119293651223276,2.6950344705474967,2.741630648921269,2.1396641737681743,2.4617934374728248,2.770705051839104,2.323348123055356,2.871759564207559,2.387466248511221,2.9355785496624907,2.4575433420077126,2.7439103931876136,2.51330861505394,2.051757204627766,2.374419141170248,2.239041933673555,2.299714518633862,2.4141123144580017,2.611224679663793
basic-attention-token,2.2258572119117987,3.381831981726919,2.1334580402117096,2.2922420581941214,2.926253642670409,2.4569179734908513,2.215188962775958,2.155504887984428,0.0,2.476436177409918,2.676242207142208,3.0302786358436062,2.8509279713894187,2.0605757734078036,2.52918674080519,2.8577938249699253,2.2665989552591568,2.6126603564764683,2.277015632381778,2.7289464644528794,2.452947306620554,2.297874519064915,2.6601103049775947,2.6227689408166848,2.596593153812471,2.2649006460327556,2.375941127816238,2.817918892239722,2.604264519242021,2.607294541462337,2.235494424459909,2.1633756927817687,2.3273396157503137,2.5701710611564255,2.564536156664004,2.4840124713258422,3.0097010546502783,2.3606505054081914,2.660846281618897,2.582408620470296,2.4019899872576196,2.396763262271888,3.0300067565176216,2.825911005404803,3.0097010546502783,2.644903693063969,2.372878710403566,3.3212279386389607,2.531562808277299,2.4895456940727168,2.638619055281966,2.1118648151964896,2.3958264901248807,2.4017692410545637,2.881036545899405,2.616721342273595,2.761869348436414,2.291074865012577,2.635344729148618,2.62074134233534,2.726829981317073,2.295968173671964,2.7374425787539716,2.2938087344429308,2.1558265314467433,2.7377182402469695,2.6245068620378227,2.220735432046609,2.130335032394976,2.3935462106106167,2.562415511611289,2.4395723310572537,2.3869380129677866,2.065184875679358,2.6172497552157403,2.4714424668743327,2.7275385808777624,2.3217736580664514,2.73558759944735,2.8330126375375837,2.6941446859371947,2.369506712800901,2.2205387101158536,2.9275813488263176,2.5622223520046563,2.078538829700691,2.68883849417236,2.1417072958217016,2.593467385204431,2.3618961427045098,2.746997586288048,2.024341975000191,2.5183757345892213,3.0628948422582907,2.616878111843858,2.817994172890858,2.451760732504225,2.502564926151056,2.154776487873629,2.81260731293378,2.6873015577413315,2.930205699820263,2.3402825146114274,2.3976161117347536,2.3849667090513975,2.5891845726217593,2.6901643198996212,1.9129784161351813,2.2114310380286994,2.105429320951121,2.2807553741628763,2.176235387916529,2.086035654523556,2.6561081619284326,2.5058162660190164,2.3777422334541125,2.6974897166666167,2.0819790838294385,2.4149100323805115,2.5740918925092595,2.495651456744724,2.078567392343179,2.8739127339767365,2.85340033896883,2.786041398825599,2.1379814028692334,2.660708055762145,2.8314819095340926,2.398401744768159,2.871918337837469,2.4835916296786364,2.8968889279827406,2.4921084683291843,2.779125312751821,2.456949390296606,2.0681890669931713,2.428556785293624,2.5044550242227044,2.3527288718355255,2.605800465393821,2.5927546001578867
bittorrent,2.376386374693882,3.3223504041148457,2.43977752548248,2.5106141918225076,2.9703645883032,2.538659492722094,2.4626070270963476,2.494549602450717,2.476436177409918,0.0,2.806493178779775,3.076931936317204,2.8056934595628427,2.4813213593769397,2.520115080548426,2.823053764754511,2.4842950798885552,2.55419444570769,2.53577097300729,2.599944332879107,2.6280324033707045,2.5745502571808285,2.727363855070352,2.674858337627668,2.652356021556026,2.399435296088388,2.3743619895948127,2.940990901119921,2.491951322080978,2.5974739920920378,2.550290057412689,2.4547522288632497,2.524892173139357,2.6112435482340386,2.622474550810434,2.483894175189725,2.947859341864372,2.6113375387763536,2.8516882332129163,2.517160659942956,2.4958030751006075,2.3141997076584504,3.026147846683795,2.5842801013406658,2.947859341864372,2.842742747414092,2.6074616320719577,3.461584702450436,2.5748149199305663,2.6215300012829683,2.684626758953816,2.3345630432557787,2.5228388236609693,2.5364072668238755,2.977404849146269,2.510473600719148,2.732880359086431,2.579855637311203,2.553919555988451,2.5694135152049893,2.6563708786074156,2.5328635324028657,2.702025621802504,2.4103542401724916,2.4611478763690195,2.829981532783925,2.5253018152796214,2.466682043101214,2.2597723755087267,2.5055045445460884,2.5173001645488595,2.731893067255354,2.5486100886773633,2.414869299431031,2.425290445807569,2.55789766091571,2.7047519454582796,2.434857060665243,2.710668971846769,2.7607434173393726,2.5538934611201243,2.135618182794971,2.53818918781263,2.904041324638751,2.4969372716699545,2.4590613477376015,2.935005575677093,2.5097644199591427,2.723573731342963,2.5590912006546307,2.5063931109386783,2.398795115599694,2.490032082304758,2.9938377597243404,2.5787568197807,2.801657423849365,2.5297837827460716,2.5457043351136983,2.5154686872236347,2.8689325426706795,2.6438080878184556,2.781189779974103,2.523032902951899,2.3725447473079644,2.4521940294994744,2.660027339871965,2.4203995206525915,2.326831974447354,2.498481691573434,2.3403395380883913,2.4520455566177004,2.4858084119178274,2.4334304225503374,2.556423824107037,2.464616318763602,2.3512996184716686,2.674864861405084,2.473547636691015,2.44706656030731,2.6482094650737618,2.39581872400824,2.383854482552268,2.8547130377073797,2.7736473093130316,2.798863731009061,2.264970287638725,2.5931390674237456,2.723268860036045,2.4890783041632174,2.774298258635607,2.5895615782227974,2.759066796515789,2.502328492386135,2.676458886485287,2.5193011659780904,2.4871980012545665,2.4534458244445774,2.6213404481841382,2.2536531818712247,2.6010574369965727,2.673152200526204
