Name,iota,anchor-protocol,compound,bitcoin-sv,drep,moonbeam,usd-coin,chainlink,basic-attention-token,bittorrent,enjin-coin,bitlux-otc,sumcoin,binance-coin,shiba-inu,huobi-btc,bancor-network-token,kava,unus-sed-leo,the-graph,elrond,helium,compound-dai,fei-usd,compound-ether,gnosis,theta-fuel,lido-staked-ether,hedera-hashgraph,keep-network,monero,wojak-finance,golem,bitcoin-defi,gatetoken,ecash,thorecoin,ravencoin,voyager-token,celo,zilliqa,cryncoin,solana,holo,yaapoo,open-governance-token,the-transfer-token,convex-finance,bitgert,magic-internet-money,bitkub-coin,waves,uniswap,siacoin,pocket-network,youcash,bitdao,bitcoin-nft,frax,the-sandbox,osmosis,loopring,ontology,aave,zcash,amp,woo-network,ethereum-classic,internet-computer,dogecoin,klaytn,mina-protocol,kusama,neo,apenft,huobi-token,cosmos,nem,ftx-token,bora,decentraland,bittorrent-[old],swissborg,mixin,cronos,stellar,axie-infinity,algorand,renbtc,marinade-staked-sol,arweave,eos,pancakeswap,ecomi,curve-dao-token,defichain,egw-academy,hex,tether,wrapped-bitcoin,livepeer,near-protocol,decred,perspective-coin,bifrost,thorchain,polygon,ethereum,litecoin,qtum,bitcoin-cash,bitcoin,cardano,icon,pax-gold,stacks,kadena,dash,the-bee-token,wemix-token,toncoin,tezos,iotex,liquity-usd,nexo,tron,fantom,audius,uma,chiliz,filecoin,gala,bitcoin-gold,render-token,unfoldu-group-coin-(new),maker,nexus-mutual,juno,okb,avalanche,compound-usd-coin
iota,0.0,1.5854126007194351,1.1327719759929058,1.1346654956867397,1.3677622144846044,1.1299674878803183,1.1043341518762342,1.0541136831949587,1.1129640909107474,1.1883117641186076,1.2259656563803338,1.395454614341326,1.294128006827892,1.073236557116434,1.1710017640653931,4.149555512720855,1.0219482022677524,1.250645240611593,1.1214628080914157,1.2583822790183872,1.1685191366637149,1.1347895142034619,1.2905978515739878,1.2643053790300476,1.2529480369403492,1.0962285862899201,1.1229954384492007,1.567311743518043,1.1678297478908521,1.1850788218736796,1.0424277685662542,1.0273069661096652,1.0259483048812776,1.2784451778904469,1.2189194447597251,1.0584252519244404,3.336729912547755,1.1060551009933064,1.3201587539949864,1.1714513677385305,1.0818593165655268,1.4747142814453245,1.4340144117023164,1.3397493928031785,1.8616680802804164,1.2763918683404736,1.1713633815102475,1.6412167583257833,1.2127476186657542,1.1560022173718747,1.238263670400883,0.9689583924960925,1.1495335400338123,1.1169769948861148,1.4168891186365018,1.1589456678741046,1.3846179171415367,1.200270901760999,1.166612414870844,1.2310533810781876,1.2751687174258046,1.1058402157464202,1.2509313249143914,1.1663943001760266,1.0937176058648752,1.3748323563383713,1.2186083272384265,1.0697580643341054,1.0339367141118927,1.0732538484410583,1.2281392907001216,1.2153599875395968,1.1680218688612607,1.0158576979851046,1.1737246924991411,1.2447847008946713,1.2678172718330636,0.9670639305289305,1.2818359913823592,1.3223702285184895,1.281999426790902,1.1698020832662503,1.1294054629702015,1.37657341840727,1.208222743865067,1.0462207798011565,1.34713147669015,1.0613278463895905,4.061107013891611,1.1892220002084453,1.1855380033647023,1.0359522513119808,1.1510411896020112,1.4645147806327687,1.2617329491669091,1.2646946938652432,1.1658402436106041,1.1913548868586845,1.0360232244021828,4.241661851755959,1.2331302069379408,1.400403311467559,1.0029081256356795,1.0658745155879565,1.1631879858907404,1.218135538190342,1.269039194057288,1.2456054142993591,1.0798212509573237,0.9432091918499202,1.1608813898501247,3.888413450327601,1.0572590208152486,1.242209738949497,1.2138069019123494,1.0654738923974372,1.2310440772252307,1.0656448496648563,1.1219952380181495,1.2554252733481552,1.069987582563565,1.01007889805496,1.334880623386246,1.3287701899970745,1.3405356852072887,1.1259355496188033,1.150068430221206,1.3015710031965482,1.2200250122583187,1.3587595282134122,1.2629579001494011,1.3864236333207471,1.1744726931745177,1.3533067207830591,1.196090814874586,1.2898194551663458,1.1042410253873598,1.1902759422667861,1.091185209832468,1.2683482177173604,1.2546199151720099
anchor-protocol,1.5854126007194353,0.0,1.7103259222987037,1.6583954505923217,1.7040044004600896,1.6345549448508419,1.6851069357933528,1.6722830887776874,1.6911854832038964,1.6615277862146876,1.6702978268881545,1.7174045155571382,1.57956683630007,1.6967415592059902,1.553120551544972,4.478890018385647,1.6212548523618684,1.6136135975089168,1.694333906271517,1.605825530228219,1.6815141957948854,1.7042309188592257,1.7219969559621742,1.6124440150944235,1.6886056678926622,1.689455550750167,1.614004128915386,2.002616984701436,1.6518666596247038,1.6290110077569375,1.6699592564980883,1.622282019153457,1.6471124852144716,1.7141055714661881,1.5452179015702623,1.5644828022552826,3.6596685168035665,1.651535224917954,1.747585451633774,1.654331078613872,1.610518959376652,1.9380639873665002,1.7556748308763588,1.7029127363438445,2.184606684536228,1.652991604181563,1.651690095697643,1.893103618302861,1.670243895344523,1.6458741389512874,1.6934627370103592,1.6250957180375305,1.656329155939814,1.6152631047561723,1.7307888686085295,1.5001355054460273,1.7042234354977643,1.7307987910985363,1.5032340921086547,1.6845512340119353,1.5813719112684999,1.6700333585324132,1.6129414600167835,1.6524779806903875,1.685155511689268,1.7036363879401453,1.6140514526678877,1.6431414936259356,1.6671839257786232,1.6789237163306945,1.6629374103777401,1.706496519292658,1.6922278494185443,1.6584500401802074,1.6012738987988844,1.6373041889022537,1.642210890927381,1.649031672042217,1.5751323237614003,1.5798933490596614,1.6344678118361609,1.6559524202485665,1.6626100900272252,1.5991862962880306,1.5566928346317719,1.6301657339789732,1.7363098805126247,1.6586799254756885,4.499397957567244,1.6705851338964872,1.53698798747803,1.667799211042606,1.4566799031164694,1.7482134497094748,1.6061858001433638,1.5099585064060572,1.6568038390753026,1.6205414039092743,1.6583783276328221,4.556713757361902,1.557916222324011,1.6908131739967112,1.643684471849729,1.5968395769110788,1.5959119335803083,1.5657820257936663,1.6778147521680922,1.8802235649330525,1.6561233620230502,1.602484528456924,1.6764415701648492,4.4994825572480925,1.6464197223176011,1.686209510996307,1.6815411488800505,1.5792493280017033,1.672721768799483,1.6687382525729644,1.6000768381837884,1.660018265367984,1.6121892829094422,1.6347322497704857,1.7154510373227498,1.6895977581461121,1.7750189673098318,1.7166266057846646,1.6639089737486563,1.6658661276320188,1.6700347531528195,1.6548187788161965,1.7082438881808404,1.7253304752291707,1.6533075364940228,1.6805309477002843,1.6044299899934111,1.8344262004213343,1.6352811301739036,1.6756274291112603,1.577805693068748,1.700303319584584,1.6863701597980207
compound,1.1327719759929076,1.7103259222987037,0.0,1.1683323484287536,1.4927079080989705,1.2467038742977168,1.141547011087567,1.1139992357028972,1.1139564928812575,1.2671993273334674,1.3559808159851028,1.5316028568392897,1.4116506771495394,1.0766641947114701,1.28094995661496,4.23988127227584,1.1591948559094496,1.2798533710703275,1.1511947017114799,1.3776183658613848,1.2176587190107644,1.1633286333700597,1.1992875207125024,1.2842117810265645,1.1589064238398994,1.0928447708597575,1.2092539856609472,1.5575994834141347,1.3017526061412688,1.275800241750332,1.134904150263967,1.073152625833328,1.208974506257605,1.2221822054257452,1.3331513777914195,1.2469466727056728,3.38697102692027,1.2270794181728422,1.3388767682753797,1.2883258699223097,1.1735461221501047,1.4483448249631392,1.5199133525909534,1.4557027627113452,1.9119091946529312,1.3030828221465787,1.2683663788014496,1.6762270446061602,1.2800463076993907,1.2546914285073643,1.3404668111737434,1.1088424560127212,1.1033318104983654,1.2169313396863015,1.4208860561341923,1.297553610816022,1.3640338173802673,1.1529246779823434,1.3220910210557117,1.3422862434704508,1.3695380320817676,1.1102500909749982,1.3833692526412533,1.0257383056224652,1.1373834092570774,1.4401192054556473,1.3109967027060738,1.0797322048227966,1.1085401890156883,1.2511287588373963,1.2879820925205279,1.194691234069896,1.1971094621816836,1.0309567665800738,1.3118396968807975,1.2322164163867924,1.3631655761636576,1.199107930406503,1.388223721091074,1.4570999185760662,1.3525682582657155,1.2684675398143568,1.1168886029852894,1.4953422986805887,1.319536103320921,1.101466826826661,1.3260021996179825,1.069195318754379,4.09608865567928,1.0759458426717143,1.387992232139316,1.0387705389789705,1.2631257825752655,1.5930396234352378,1.3188825357567873,1.4276421544710078,1.2417037100824246,1.3152914875238306,1.0976420085519005,4.178858241421197,1.4052403515702077,1.4417791558298072,1.1707847023549185,1.1842922408949217,1.198523916593891,1.3106488626059059,1.376106583024722,1.1607481722618245,1.1566109074236892,1.1477657331262467,1.1430603999914983,3.8326583985003992,1.1180867039309532,1.370506738823937,1.2664565395921437,1.1935261070644494,1.3203244226907356,1.0370963997229894,1.1672731175864675,1.3293663490334073,1.2714982072724832,0.9740752709743035,1.4498300832917141,1.3894617967984113,1.3354008476185166,1.1041775792853352,1.3661911221889909,1.421341027789022,1.1507019556472753,1.5042754164785856,1.2202423178712138,1.509981619927423,1.2194967751902985,1.4320813479420862,1.2439526727614119,1.0915897587738603,1.2423066001263263,1.2496835067933794,1.1967861228296504,1.2819719353522265,1.1714554671931767
bitcoin-sv,1.1346654956867357,1.6583954505923215,1.1683323484287536,0.0,1.4412803976268629,1.2154642806056586,1.1587099359678028,1.1565175674036479,1.16585335389584,1.2751225125268584,1.3712199094792519,1.4815768864808476,1.3551322405859134,1.0814056459331944,1.256970733681195,4.155625174649932,1.1950377630787739,1.3263455095329106,1.2342719125160955,1.3439948598927374,1.2362156189119249,1.1803524540487336,1.3622909133794514,1.3057891349221802,1.3232168852956259,1.215568685824907,1.2178986161342076,1.6661518196075629,1.3055176143681817,1.2406493039896407,1.0570338406154258,1.1806764627727453,1.2096824854026527,1.2937034515869075,1.2581652757935193,1.1636877457559616,3.3794906065195374,1.1569244610494949,1.3906373769175908,1.2905627524128447,1.2007497775953107,1.497737046232206,1.4290941248500373,1.4280049405739836,1.904428774252199,1.3390032784512784,1.2424320063657919,1.6653934772497379,1.298407261058688,1.284372044721886,1.334634034073427,1.1274788655657713,1.2481176354755668,1.215049168373096,1.4656543423109314,1.2424717389093196,1.429381729487577,1.2531258404295225,1.2431958514758366,1.3133673073893637,1.3524235485111318,1.2622530785831436,1.3256566704087354,1.243041526965252,1.0994357573350835,1.39713025114885,1.2987557944920223,0.9863684242766022,1.136443247528307,1.1650329732298055,1.2968145050043565,1.2801109948737257,1.233933294033551,1.023027820498552,1.303413396232034,1.3190395108189448,1.3706102982331045,1.1564983678302716,1.343978621354574,1.4181518270711677,1.366768280955307,1.3340029487348644,1.173341614597796,1.4035171068787964,1.2916158373547149,1.049941797666102,1.384333486945477,1.0778829821855844,4.1755653176143195,1.2245685767849894,1.3309428187441694,1.0712471911021841,1.248057046354932,1.5262411283670347,1.3577432401306329,1.293711193351745,1.2420943751588727,1.2684843327042028,1.0345438290673084,4.234874928532558,1.3220109077499296,1.4779877686400893,1.1249655831613687,1.2010751171413758,1.2340188501871332,1.2797338528825288,1.318581044231724,1.2040184292545186,0.9415008541713866,1.1263034607431515,0.7570165790309826,3.7626074278511856,1.00574136736294,1.3485715214477896,1.245338961702819,1.1806908112834291,1.2920096541981878,1.0548396925241663,1.2033631308311301,1.321992263170999,1.2000377396662072,1.0207301604483834,1.4002319502953124,1.4094674685148532,1.3988977154102111,1.1879000059795035,1.2957460722049816,1.3991702796045697,1.3055914231483596,1.4220891175629071,1.3002165615568364,1.4785195356198704,1.061679777133178,1.3954785292036356,1.2584987193123927,1.3356285555709215,1.2434521638627327,1.270657492392947,1.1721518391254826,1.2967898362370587,1.3314528396013705
drep,1.3677622144846049,1.7040044004600896,1.4927079080989705,1.4412803976268627,0.0,1.4059377104134947,1.4344429377433772,1.3872454170205042,1.4631918005795608,1.485330365212769,1.512697554414118,1.5054843084266774,1.5289901594906585,1.4777690186035248,1.412319822702709,4.251441276854386,1.4474897538285543,1.45143074128134,1.481171217581253,1.4004108522085126,1.4734289291739915,1.4257409822306528,1.5137299427537343,1.529015116173248,1.5083864560717315,1.4445597032112465,1.394906975958961,1.8638201718888896,1.368763003066067,1.4246884141094194,1.4473779669423155,1.4337534882098049,1.4088935275145795,1.2949682296423288,1.3247632773752873,1.3779274245085207,3.5008685327889273,1.4581542083995083,1.521472093271538,1.3462817446194104,1.315222859169425,1.648481047616154,1.6104880594603515,1.4185526150040715,2.0258067005215885,1.4254094440265375,1.4556135869604516,1.7021770016440256,1.4242124337638598,1.3768219748207793,1.4564790358111135,1.4159116832520793,1.4351835799595198,1.422200980079381,1.5096813296913172,1.3500147648057763,1.5506050270846834,1.402601215125552,1.3922975997935039,1.503622117780073,1.371497154739426,1.416476300671316,1.181440362087281,1.4806883627983303,1.4641516069107279,1.4804094384592306,1.4167109677917569,1.4118641790394606,1.3923399566859984,1.4549777357575104,1.4165379389547406,1.492639895221782,1.4663807009645422,1.4427153329615885,1.3701565941784253,1.4678987339580598,1.4427663979781018,1.4346639717772247,1.5092390825163513,1.4329187499463636,1.411010736940581,1.4223439395672846,1.411990452676531,1.4638407590534155,1.4133402626817153,1.404490487263841,1.5501453445205569,1.4348472141684023,4.286994464290124,1.5015706814498593,1.2818076529559712,1.4331859568906087,1.4143860562379251,1.6285543699383198,1.4582477883790532,1.3491446129438953,1.410849504170017,1.4029436772139103,1.4298782340852898,4.395122778951839,1.1944456846215068,1.4667306174696073,1.3551089933958305,1.4330136044910038,1.4633425200284882,1.434948261300816,1.44877023553791,1.6256109719371978,1.430536332009814,1.3684956183548056,1.466947357832896,4.227786905392306,1.3967932332643564,1.3607244650852064,1.5283236587277564,1.2909464204583587,1.442084189562514,1.448449280222843,1.3661452364240814,1.3963158584438653,1.4052225474386382,1.3709020273484438,1.3358485711818862,1.5291206639937602,1.5640073723008363,1.4737835675544835,1.4554637768746328,1.4633580086850004,1.4376415385154617,1.431695993980601,1.4582564056402467,1.499511720395321,1.4208665299178784,1.5044475170316252,1.422155738589748,1.679633787120644,1.43087202279402,1.423010734192641,1.3840712265507793,1.4284975914391236,1.5101859803270445
moonbeam,1.1299674878803192,1.6345549448508419,1.2467038742977172,1.2154642806056595,1.4059377104134947,0.0,1.2488240751833923,1.1915893789674936,1.229269487204745,1.270223338637192,1.2894793037400256,1.5307128136140205,1.2923000408138974,1.1845502922560063,1.1805443599108614,4.229611128834176,1.1906145877867724,1.3058859553530078,1.2603620744104298,1.333742406944222,1.1849340857092343,1.222137497726955,1.3434462108514875,1.290036447338866,1.315120552371809,1.2370956468890169,1.162161014566546,1.6014285896448766,1.2279540884653914,1.2088302959629982,1.23208229812604,1.0999854854731344,1.1764744988148292,1.293676955725789,1.1684992616896595,1.1420596881043554,3.3997399399196513,1.275851914815749,1.3391790943076503,1.26667925331995,1.1920301338850086,1.4366177562513613,1.5025755765522861,1.4027594193501685,1.9246781076523123,1.337877463705011,1.269620870176311,1.6473691199643892,1.2868843890126098,1.241737567560421,1.362543642941508,1.1347412067507938,1.1886184921208427,1.2668376731189879,1.4353817492983652,1.1763478383821724,1.388741063446162,1.2395389508520949,1.148186250115579,1.3065971953458992,1.355688801614406,1.1909222203868335,1.2650318436939543,1.2118272406008206,1.2241671641064726,1.3935657228662717,1.2295924172523929,1.1584989696004846,1.129705776549733,1.259551801107038,1.2699334024218223,1.297150038497115,1.1859095402247306,1.1745022515842565,1.241961919967965,1.2028879822598602,1.2897531732083356,1.2453896144280214,1.2470734671944195,1.3960947062451496,1.3017152334525646,1.199057742642959,1.226432400917186,1.4073172557832403,1.176874062325368,1.1533167755864135,1.417424266622617,1.2170919780315377,4.119883485846378,1.2543842039886768,1.323444514995879,1.185658410565879,1.081191007498937,1.4947387257293756,1.319503400239422,1.3629206097853908,1.2556937084938533,1.1939353236181502,1.1884726033760664,4.132514975567426,1.3119209158427072,1.484592116113347,1.2545025078543646,1.0567201793828027,1.1640143649057175,1.2170224227392148,1.3076432291599394,1.4003695186229395,1.2425229856097606,1.1985026350003285,1.2777692490511474,4.0300582357513335,1.174150483858636,1.2725196657127507,1.1988744994362157,1.1561999447769236,1.165632537761028,1.2114674861865318,1.205438433238116,1.3576657742841036,1.229716420608532,1.1458898892727878,1.2584106994596178,1.4377057227585415,1.3733946323844848,1.231870668381847,1.3083255549161859,1.3892431345176244,1.2693325251543366,1.457662733656463,1.3388983296972892,1.4985134608215191,1.2003574941862865,1.343064846284838,1.264578232792533,1.4258101962189627,1.2373554360378223,1.1835981380104896,1.0082978654096735,1.1682380204822163,1.3221246352952805
usd-coin,1.1043341518762309,1.6851069357933517,1.1415470110875618,1.1587099359677968,1.4344429377433763,1.2488240751833881,0.0,1.0825275261380178,1.107677416913904,1.2313036698439639,1.3202192845601513,1.5220077809176193,1.4249906095873446,1.0568579563136236,1.2885488179883064,4.310209434650856,1.1819395995065913,1.2894127677423177,1.1228247017245356,1.3924961877481123,1.2694451800978779,1.1913769976752981,1.3363977841502728,1.2745743941789895,1.3159004859698122,1.2298257010042293,1.2650849964787616,1.6923563499206045,1.3078740034077572,1.2491789790461554,1.126495046952641,1.154870110920666,1.1730951333618953,1.3527213126590467,1.3213775583348777,1.1919851827313752,3.4646622828414078,1.2016206297295124,1.3518567163886361,1.2776726002758219,1.2077243720533828,1.5716240628248421,1.510426171467012,1.4344915803689862,1.9896004505740692,1.298485986276137,1.2115895282256572,1.6754206640983962,1.2655665873092186,1.1725043549663021,1.2792332278901801,1.0993161371187985,1.2210472289154042,1.2519841850096867,1.4754221285053517,1.29219327911932,1.4231158341859078,1.2747508466876496,1.3146275156287126,1.3570753314844135,1.3333027058562963,1.1829523867755043,1.3594608257480842,1.2339004377174443,1.1075073468957095,1.4317882662882393,1.3180329733922829,1.1138235018981202,1.132858565824241,1.1419212098214258,1.2737936084282442,1.2581580808551323,1.259305070243474,1.0938821417655666,1.275931247423581,1.2947681759494172,1.387420102175586,1.1386427499425353,1.3927736634878103,1.4541536343285968,1.3883854359619503,1.2742576422960183,1.1677845985780388,1.482698370101333,1.2940946477105029,1.0779878251813162,1.442259658984081,1.0999516358816177,4.245661013984768,1.2610184096029262,1.3658392014504042,1.08292663798907,1.2809808625020915,1.5506468965115345,1.3464910113969328,1.4194174784700058,1.2444858798843386,1.262865514462095,0.9913632295120268,4.285770862658832,1.3846288201950057,1.4872741438053854,1.201523682665069,1.1742162655195907,1.2050734350872416,1.3162600613932787,1.3044501750024655,1.3007658758759002,1.139183787829269,1.0815861992507565,1.1864521380873756,3.917673621324922,1.0697178147719473,1.3111965680254678,1.2366891434085028,1.2000832188467565,1.354277898200663,1.1244347236327423,1.159926992998811,1.295582814242069,1.2238894335375619,1.0627186574783305,1.4280356289457277,1.3426779386484387,1.4216795655663457,1.1387670708136342,1.3081648376006256,1.437227356506001,1.225545533258919,1.4667791047545393,1.2743154009794393,1.4300833628607748,1.2330293842427962,1.41597417327574,1.195709417177488,1.2756984308536947,1.2373607158871616,1.2088071683054233,1.1452519764064357,1.3163857437362754,1.2179385575568147
chainlink,1.054113683194955,1.6722830887776874,1.1139992357028952,1.156517567403649,1.3872454170205037,1.1915893789674936,1.0825275261380214,0.0,1.079936465702539,1.2495419147525113,1.3029260466732056,1.499026543824144,1.4280465384843783,1.0925178552481554,1.26613364469217,4.282375132885971,1.1085598680189859,1.3198664685131596,1.1304572481735675,1.3059755228630106,1.2396943894088324,1.0946850825181331,1.3217989621536623,1.3287542328993238,1.301209265001725,1.187292464190977,1.2245184633808017,1.666491888768916,1.255222932020828,1.2210831439994614,1.0796500384889234,1.095331404814099,1.1054208554082159,1.3175325233271167,1.3071788690265518,1.1820240701071332,3.4363061104451678,1.1780224859010566,1.349918764131754,1.2821755549975977,1.1035052077599137,1.5005471827475192,1.4474270235790805,1.3529536765908496,1.961244278177829,1.2616527296808733,1.2192190420669535,1.664831398708075,1.2265728140024237,1.147645563420487,1.312113902075498,1.051163677130967,1.195528663189495,1.1318199860459492,1.4024871327490154,1.2853402996938397,1.4026728452524904,1.181112300111121,1.3015393367500763,1.3206913195030507,1.2994861457419065,1.029997556317984,1.293900051263311,1.1717130649050038,1.1076716990268303,1.408770171602968,1.2996078557621267,1.0681849640504146,1.0690426288922106,1.1789660956602739,1.29226169320954,1.2011365947540584,1.2298123063711226,1.0186342660809478,1.2532387163929672,1.3116995635940056,1.3422419976720843,1.1355368436573055,1.3898446523464931,1.4343499622118392,1.3537085074434725,1.2410196178877382,1.1820520816582747,1.4672072170703132,1.31670940956339,1.0591375764093693,1.3501889197171566,1.036348212223687,4.1587068222295756,1.2174811901416744,1.2984360038221723,1.0066301597366971,1.2706496391111628,1.52724621631938,1.3139539408962746,1.3860763229065503,1.2392459140777283,1.2930979493805574,1.0176967526066643,4.278033908832585,1.3156551951566549,1.4156152639308706,1.174664457566675,1.1875947367507815,1.2120163035890712,1.3026605070444937,1.2741857601556963,1.204192660277353,1.0983383694805653,1.036419373409305,1.1859880311936457,3.9250530481784427,1.0379275457763832,1.2369558312308373,1.3041599731492446,1.086042878336599,1.3200243973902532,1.099134240890635,1.109156843360704,1.3251973020445529,1.2493073228624512,1.0097489099870216,1.4082184712188692,1.3497810093051974,1.372886380967736,1.072091913453046,1.2328838521654448,1.3874058014963773,1.1619663806271616,1.4381113013569957,1.203798952261505,1.4700040457737873,1.2337939431181604,1.3737163202230078,1.258920970065197,1.262461642141588,1.1939212722418624,1.120020375338154,1.1502128160108704,1.2149574709071231,1.307879257106844
basic-attention-token,1.1129640909107508,1.6911854832038964,1.1139564928812575,1.1658533538958404,1.4631918005795608,1.2292694872047456,1.1076774169139096,1.0799364657025403,0.0,1.2383011805217892,1.3382476130581529,1.5177586653863486,1.4351155002246305,1.0636887087608067,1.2646764572002096,4.279439020628727,1.133734698699587,1.3066487900524324,1.138712904944189,1.3645207242726258,1.2512387341224196,1.1519733370650376,1.3301381754508455,1.3114518666000259,1.3032400529924941,1.1662158376274951,1.188025754181439,1.659182662839801,1.3021927766907242,1.303677345735522,1.1370500990541659,1.0817547631978466,1.1637195695138816,1.3241681182121259,1.2827150867355444,1.242089304981358,3.4830124301761876,1.1803946124968314,1.3306499094220117,1.2915161623118134,1.2010634287597153,1.4909109851686406,1.5363630531236023,1.4130373165453176,2.007950597908849,1.3225695423459995,1.1872753496361823,1.6644225974131661,1.265864495929832,1.2448544190876232,1.3196461518953435,1.0579468986838552,1.2002143810607688,1.2009652554202797,1.4405923717537361,1.308422456734969,1.380983830164248,1.2015746463631236,1.3177546455948783,1.3108902503127209,1.3640762313700014,1.1481368002973025,1.3687756420157826,1.1758528854073107,1.092453576237715,1.368937349648063,1.3122559992925102,1.1163592508041191,1.0795947210667334,1.1968243207596412,1.281335112873236,1.226192873013354,1.2247369134593378,1.0390226781553429,1.3087079691967731,1.2371670266982704,1.3664128317983941,1.1609367195875646,1.3711548201397288,1.4165402457499388,1.3473487050435335,1.1848359296808582,1.1102774237080992,1.4848365019461012,1.2811404935066983,1.0393187878088679,1.3586784267439413,1.0708907888114358,4.152145059117132,1.2043255512909081,1.379098596000033,1.0126112878999838,1.2612526009216445,1.5315298487953344,1.3086918432062353,1.4091013563384978,1.226045390880328,1.2513283871916456,1.0774712422274295,4.259013775819433,1.3471471104644073,1.4662381630319423,1.1838290678104144,1.1988838456977837,1.1928666649911563,1.2956247184357945,1.3451776131306699,1.208067608798404,1.1217551402304418,1.053915254118115,1.2041345604400555,3.9356005602552964,1.0430860731404459,1.3281594293861507,1.2685473732977126,1.1889389263400227,1.3503733137420704,1.0614481577676707,1.2075381080538403,1.2883671989742755,1.2480956282419462,1.0396329430398037,1.4370261339357546,1.4267799218055344,1.393133664616034,1.0690665062932443,1.3305509161623712,1.415871700900554,1.2010925749949195,1.4360066664616198,1.2540456645555393,1.448475213223595,1.2532605279892228,1.3899855544570372,1.2285573359762034,1.2728615950346174,1.223174116013877,1.2549109423230533,1.1781929009341514,1.3129855680853595,1.2964601956435644
bittorrent,1.1883117641186096,1.6615277862146876,1.2671993273334685,1.2751225125268595,1.485330365212769,1.2702233386371924,1.2313036698439705,1.2495419147525113,1.2383011805217892,0.0,1.403456190693761,1.5411684074399732,1.4125813361281683,1.2741445935622004,1.2600575452023088,4.262152082337845,1.2426658528311108,1.2774989264848673,1.2681736670737707,1.3001027503025457,1.338864374314321,1.2903942979398204,1.3636819963900906,1.3374448644390233,1.3312045786810973,1.233566254472137,1.1872088963408882,1.7208017590967264,1.2459982357876183,1.2987900128584815,1.294531007347382,1.2273922894414426,1.262479416747808,1.3447874535677586,1.311767375625586,1.2419471100627182,3.4521746656000607,1.3056825014123252,1.4261539770358456,1.2589752738649655,1.2479161942362371,1.4497122996787475,1.534516690023515,1.2921413286437802,1.977112833332722,1.421572161337876,1.3046499022872045,1.7346840711357296,1.2874074612823723,1.3107665204069805,1.3427330955480936,1.1693791045303252,1.2638036396456382,1.268206090336209,1.488859615193986,1.2552581065782316,1.3665724273060618,1.3460481243292624,1.2769605887906292,1.2853094285643711,1.328929771832,1.2666675714795725,1.3511502553568653,1.2342087300889173,1.2451973405156787,1.4149956286841507,1.2627365677298164,1.2394156481482477,1.1443964844404346,1.2527841486355542,1.2588605311588497,1.3724363329292302,1.3056560431309525,1.2139479818480052,1.2126452242208736,1.2804777155357838,1.3551026059054783,1.2174617315951413,1.3587785981562641,1.3804887274676543,1.2773061844518252,1.067809609934277,1.2691696170731641,1.4731495816691438,1.2485224101474746,1.2295643927271032,1.4818450593131336,1.2550024426969701,4.217281324003224,1.3030061720827943,1.258879450142174,1.199920950016561,1.2471638665962392,1.4969195440120608,1.2897142889914797,1.4010160736345787,1.2651400078180766,1.2728893352575605,1.2577344371344124,4.287259482504709,1.3254834673197955,1.391813294925687,1.275287353797476,1.1862796756403873,1.2265634170320212,1.3311291938777223,1.2103783053239814,1.415077479771316,1.2653635588196348,1.1714534545035757,1.2898627434842933,4.090470164072771,1.2168665489706467,1.2784003522922727,1.2480304914868314,1.1758007106656172,1.3391439779281298,1.2573155260152846,1.223533281470744,1.325509077073352,1.19826235369053,1.1923595799611715,1.4273698437231026,1.3868269941522737,1.3996279225245782,1.1324924307776238,1.2968495138099947,1.3618482679683532,1.2465139465092745,1.387184723591707,1.3071137306444454,1.3795857408424943,1.258453631834524,1.338735433140597,1.2596510339780953,1.4824491539821405,1.2357017274061792,1.3134367461205965,1.1287381477688263,1.3106971457035612,1.336576296513785
