2022-03-01 02:51:06,696 | cryptocurrency_data_ingestion | INFO | Notebook has begun...
2022-03-01 02:51:06,696 | cryptocurrency_data_ingestion | INFO | Aquiring configurable dates.
2022-03-01 02:51:06,721 | cryptocurrency_data_ingestion | INFO | Creating destination paths.
2022-03-01 02:51:06,767 | cryptocurrency_data_ingestion | INFO | Retreiving coin names.
2022-03-01 02:57:49,036 | cryptocurrency_data_ingestion | INFO | Retreived all coin names and slugs.
2022-03-01 02:57:54,668 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitcoin
2022-03-01 02:57:54,668 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitcoin
2022-03-01 02:57:58,337 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitcoin-nft
2022-03-01 02:57:58,337 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitcoin-nft
2022-03-01 02:58:01,879 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitcoin-defi
2022-03-01 02:58:01,879 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitcoin-defi
2022-03-01 02:58:05,432 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: atlantis-coin
2022-03-01 02:58:05,432 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: atlantis-coin
2022-03-01 02:58:08,995 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: ethereum
2022-03-01 02:58:08,995 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: ethereum
2022-03-01 02:58:12,532 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: compumar
2022-03-01 02:58:12,532 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: compumar
2022-03-01 02:58:16,242 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: tether
2022-03-01 02:58:16,242 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: tether
2022-03-01 02:58:19,790 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: binance-coin
2022-03-01 02:58:19,790 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: binance-coin
2022-03-01 02:58:23,478 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: yaapoo
